notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis de 4e : variable, test, boucle;3e_C6.2;Billet d'entrée (4 min, sans note) + aiguillage;3 réponses + orientation automatique;Synthèse §1;-;oui;couvert
Donnée d'entrée : ce que l'algorithme reçoit;3e_C6.2;Act. 1 (~20 min);Classement des 8 éléments;Synthèse §1;1;oui;couvert
Donnée de sortie : ce que l'algorithme produit;3e_C6.2;Act. 1;Classement des 8 éléments;Synthèse §1;2;oui;couvert
La sortie utile : celle qui sert à quelqu'un;3e_C6.2;Act. 1 + correction;Justification écrite;Synthèse §1;3;oui;couvert
Les pannes sont indépendantes : on teste tous les organes;3e_C6.2;Act. 1 (les 4 organes);Justification du périmètre du test;Synthèse §1;4;oui;couvert
Définir le contrat avant de choisir les instructions;3e_C6.2;Act. 1 (démarche);Tableau entrées/sorties;Synthèse §1;5;oui;couvert
Les 5 symboles normalisés de l'algorigramme;3e_C6.2;Act. 2 (~30 min) + figure symboles;Algorigramme conçu au brouillon;Synthèse §2;9;oui;couvert
Le losange : une question, deux sorties étiquetées;3e_C6.2;Act. 2;Losanges correctement tracés;Synthèse §2;9;oui;couvert
La flèche de retour d'une boucle;3e_C6.2;Act. 2 + figure algorigramme;Boucle refermée;Synthèse §2 et §3;11;oui;couvert
Concevoir AVANT de voir la référence (règle n°22);3e_C6.2;Act. 2 (relecture par le binôme);Algorigramme relu et annoté;Synthèse §2;12;oui;couvert
Initialiser un compteur AVANT la boucle;3e_C6.2;Act. 3 (~30 min) + banc d'essai;Instruction placée au bon rang;Synthèse §3;6;oui;couvert
Le bogue du compteur réinitialisé à chaque tour;3e_C6.2;Act. 3 + act. 4;Diagnostic écrit;Synthèse §3 et §6;7;oui;couvert
La boucle : un traitement écrit une fois, répété;3e_C6.2;Act. 3;Ordre des 8 instructions;Synthèse §3;8;oui;couvert
La décision finale se place APRÈS la boucle;3e_C6.2;Act. 3;Instruction manquante écrite;Synthèse §3;10;oui;couvert
Ce qui vient en premier dans un algorithme;3e_C6.2;Act. 3;Ordre correct;Synthèse §3;13;oui;couvert
L'indentation montre ce qui est dans la boucle;3e_C6.2;Act. 3;Écriture indentée;Synthèse §3;14;oui;couvert
Repérer l'instruction absente d'un algorithme;3e_C6.2;Act. 3;Instruction rédigée;Synthèse §3;15;oui;couvert
Traduire « au moins un défaut » en condition;3e_C6.2;Act. 3;Condition écrite;Synthèse §3;16;oui;couvert
Un seul message, après la boucle;3e_C6.2;Act. 3 + act. 5;Message unique;Synthèse §3;17;oui;couvert
Une panne n'interrompt pas l'auto-test;3e_C6.2;Act. 4 (~25 min);Deux essais menés au banc;Synthèse §3;18;oui;couvert
Ajouter un organe sans réécrire la boucle;3e_C6.2;Act. 4 + bonus;Réponse argumentée;Synthèse §3;19;oui;couvert
Éprouver sur deux jeux d'essai au minimum;3e_C6.2;Act. 4 (verrou expérientiel);2 exécutions tracées;Synthèse §4;20;oui;couvert
Dérouler un algorithme dans un tableau de suivi;3e_C6.2;Act. 5 (~35 min) + figure trace;Tableau de suivi complété;Synthèse §4;21;oui;couvert
Le compteur ne redescend jamais;3e_C6.2;Act. 5 (tableau de suivi);Valeurs correctes ligne à ligne;Synthèse §4;22;oui;couvert
Le cas limite de la défaillance silencieuse;3e_C6.2;Act. 5;Analyse écrite du cas radio;Synthèse §5;23;oui;couvert
Le remède : signaler l'absence de message;3e_C6.2;Act. 5 + correction;Proposition rédigée;Synthèse §5;24;oui;couvert
Rédiger un message utile à un humain;3e_C6.2;Act. 5 (version étayée disponible);Message rédigé;Synthèse §5;25;oui;couvert
Programmer une fonctionnalité ≠ modifier un programme;3e_C6.2;Situation déclenchante + bilan;Hypothèse puis retour sur l'hypothèse;Synthèse §1;26;oui;couvert
L'auto-surveillance d'un système technique;3e_C6.2;Situation déclenchante + act. 5;Justification du besoin;Synthèse §5;27;oui;couvert
Choisir la fréquence d'un auto-test;3e_C6.2;Act. 5 + bonus;Choix argumenté;Synthèse §5;28;oui;couvert
Ce qu'un test prouve, et ce qu'il ne prouve pas;3e_C6.2;Bilan + correction act. 4;Formulation bornée;Synthèse §4 et §6;29;oui;couvert
Garder la trace : une panne intermittente se voit dans la durée;3e_C6.2;Bonus + synthèse;Proposition de journal;Synthèse §5;30;oui;couvert
