fichier;theme;questions;plus_longue;pct_plus_longue;visiblement_plus_longue;repartition;undefined_affiche;absolus;illustrees;incompletes;sans_refutation
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/3e/3e_C1.1/qcm_3e_C1.1-C1.4_tsinghua.html;theme-1-objets-systemes-usages-interactions;30;30;100;30;8/7/7/8;0;8;11;0;0
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/4e/4e_C1.1/qcm_4e_C1.1-C1.3_tsinghua.html;theme-1-objets-systemes-usages-interactions;30;30;100;29;8/7/7/8;0;8;6;0;0
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.1/qcm_5e_C1.1-C1.6_chengdu.html;theme-1-objets-systemes-usages-interactions;30;30;100;28;8/7/7/8;0;11;13;0;0
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.2/qcm_5e_C1.2_freinage.html;theme-1-objets-systemes-usages-interactions;30;29;97;27;8/7/7/8;0;8;8;0;0
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.3/qcm_systemes_information_donnees.html;theme-1-objets-systemes-usages-interactions;30;26;87;21;7/16/6/1;0;0;3;0;30
theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/3e/3e_C2.1/qcm_3e_C2_pekin_borne.html;theme-1-objets-systemes-usages-interactions;30;27;90;25;8/7/7/8;0;12;5;0;0
theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/4e/4e_C2.1/qcm_4e_C2_hangzhou_borne.html;theme-1-objets-systemes-usages-interactions;30;26;87;26;8/7/7/8;0;3;5;0;0
theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/5e/5e_C2.1/qcm_5e_C2_shenzhen_station_velos.html;theme-1-objets-systemes-usages-interactions;30;27;90;24;8/7/7/8;0;4;5;0;0
theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/3e/3e_C3.1/qcm_3e_C3.1-C3.4_shenzhen.html;theme-1-objets-systemes-usages-interactions;30;27;90;24;8/7/7/8;0;5;1;0;0
theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/4e/4e_C3.1/qcm_4e_C3.1-C3.3_hangzhou.html;theme-1-objets-systemes-usages-interactions;30;23;77;15;8/7/7/8;0;5;2;0;0
theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/5e/5e_C3.1/qcm_5e_C3.1-C3.4_shanghai.html;theme-1-objets-systemes-usages-interactions;30;23;77;21;8/7/7/8;0;3;3;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.1/qcm_3e_C4.1-C4.2_energie_station.html;theme-2-structure-fonctionnement-comportement;30;27;90;27;8/8/7/7;0;3;3;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.3/qcm_3e_C4.3-C4.6_station_alerte_cyclonique.html;theme-2-structure-fonctionnement-comportement;32;24;75;14;8/8/8/8;0;2;0;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.7/qcm_3e_C4.7-C4.8_internet_sainte_luce.html;theme-2-structure-fonctionnement-comportement;30;29;97;27;8/7/8/7;0;5;0;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.8/qcm_3e_C4.7-C4.8_pont_numerique.html;theme-2-structure-fonctionnement-comportement;30;30;100;30;8/7/7/8;0;8;6;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.1/qcm_4e_C4.1-C4.9_jardin_connecte.html;theme-2-structure-fonctionnement-comportement;30;30;100;29;7/7/8/8;0;6;4;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.1_book-train/qcm_book-train.html;theme-2-structure-fonctionnement-comportement;30;27;90;21;8/7/8/7;0;5;4;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.7/qcm_4e_C4.7-C4.9_sos_serre.html;theme-2-structure-fonctionnement-comportement;30;30;100;27;8/7/7/8;0;3;7;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.1/qcm_5e_C4.1-C4.8_lampadaire_intelligent.html;theme-2-structure-fonctionnement-comportement;32;28;88;26;8/8/8/8;0;5;6;0;0
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.7/qcm_5e_C4.7-C4.8_reseau_local.html;theme-2-structure-fonctionnement-comportement;30;24;80;19;8/7/7/8;0;5;6;0;0
theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/3e/3e_C5.1/qcm_3e_C5.1-C5.4_sos_station_reparer.html;theme-2-structure-fonctionnement-comportement;32;29;91;25;8/8/8/8;0;9;10;0;0
theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/4e/4e_C5.1/qcm_4e_C5.1-C5.3_depanner_jardin.html;theme-2-structure-fonctionnement-comportement;30;30;100;29;8/7/7/8;0;11;4;0;0
theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/5e/5e_C5.1/qcm_5e_C5.1-C5.3_depanner_lampadaire.html;theme-2-structure-fonctionnement-comportement;30;30;100;28;8/7/7/8;0;12;3;0;0
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/3e/3e_C6.1/qcm_3e_C6.1-C6.3_programmer_alerte.html;theme-2-structure-fonctionnement-comportement;30;28;93;28;7/8/7/8;0;3;6;0;0
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/3e/3e_C6.2/qcm_3e_C6.2_auto_test.html;theme-2-structure-fonctionnement-comportement;30;29;97;28;8/7/7/8;0;8;3;0;0
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/4e/4e_C6.1/qcm_4e_C6.1-C6.3_ajuster_programme_jardin.html;theme-2-structure-fonctionnement-comportement;30;30;100;30;8/7/7/8;0;6;3;0;0
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/5e/5e_C6.1/qcm_5e_C6.1-C6.3_programmer_lampadaire.html;theme-2-structure-fonctionnement-comportement;30;30;100;30;7/7/8/8;0;7;3;0;0
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/3e/3e_C7.1/qcm_3e_C7_capteur-confort-ny.html;theme-3-creation-conception-realisation-innovations;30;14;47;1;8/7/7/8;0;6;3;0;0
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/4e/4e_C7.1/qcm_4e_C7_jardin-conception.html;theme-3-creation-conception-realisation-innovations;30;17;57;0;8/7/7/8;0;8;3;0;0
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.1/qcm_5e_C7_mini-projet.html;theme-3-creation-conception-realisation-innovations;30;13;43;1;8/7/7/8;0;3;3;0;0
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/atelier-planification/qcm_C7.1_planification_taches.html;theme-3-creation-conception-realisation-innovations;30;15;50;0;8/7/7/8;0;8;5;0;0
theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/4e/4e_C8.1/qcm_4e_C8_jardin-validation.html;theme-3-creation-conception-realisation-innovations;30;18;60;0;8/7/7/8;0;3;3;0;0
theme-3-creation-conception-realisation-innovations/C9-concevoir-ecrire-tester-et-mettre-au-point/3e/3e_C9.1/qcm_3e_C9.1_variables_types_systemes.html;theme-3-creation-conception-realisation-innovations;30;14;47;1;8/7/7/8;0;9;3;0;0
theme-3-creation-conception-realisation-innovations/C9-concevoir-ecrire-tester-et-mettre-au-point/3e/3e_C9.2/qcm_3e_C9.2-C8.3_station_alerte_cyclonique.html;theme-3-creation-conception-realisation-innovations;30;14;47;1;8/7/7/8;0;5;4;0;0
theme-3-creation-conception-realisation-innovations/C9-concevoir-ecrire-tester-et-mettre-au-point/4e/4e_C9.1/qcm_4e_C9_jardin-programme.html;theme-3-creation-conception-realisation-innovations;30;12;40;1;8/7/7/8;0;9;4;0;0
theme-3-creation-conception-realisation-innovations/C9-concevoir-ecrire-tester-et-mettre-au-point/5e/5e_C9.1/qcm_5e_C9.1-C9.3_boite_etiquetee.html;theme-3-creation-conception-realisation-innovations;30;13;43;0;8/7/7/8;0;7;3;0;0
