notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Donnée utilisée (entrée);3e_C6.1;Act. 1;6 classements;Synthèse §1;1,15;oui;couvert
Donnée produite (sortie);3e_C6.1;Act. 1;Classements + lignes relevées;Synthèse §1;2,10,12;oui;couvert
Pourquoi identifier avant de modifier;3e_C6.1;Act. 1 (correction) + R;Discussion guidée;Synthèse §1;3,11;oui;couvert
Constantes nommées;3e_C6.1;Act. 1 + 3;Lecture lignes 2-4;Synthèse §2;4;oui;couvert
Trace d'exécution;3e_C6.1;Act. 2;2 traces;Synthèse §1;5;oui;couvert
Valeur frontière et > strict;3e_C6.1;Act. 2 (situation B);Justification rédigée;Synthèse §1 et pièges;6;oui;couvert
Structure if/elif (premier vrai gagne);3e_C6.1;Act. 2;Traces;Synthèse §1;7;oui;couvert
Ordre des tests (fort → faible);3e_C6.1;Act. 2 + algorigramme;Lecture SVG;Synthèse §1;8;oui;couvert
Entrée inexploitée (pression);3e_C6.1;Act. 1 (correction) + bonus;Discussion;Synthèse §1;9;oui;couvert
Initialisation sûre;3e_C6.1;Act. 4 (modèle sirene_active);Ajout ①;Synthèse §2;13;oui;couvert
Notion de fonctionnalité;3e_C6.1;Situation + référentiel;—;Synthèse §1;14;oui;couvert
Modifier un paramètre (constante);3e_C6.3;Act. 3 (code vérifié);Ligne 2 modifiée;Synthèse §2;16,17;oui;couvert
Imiter les motifs existants;3e_C6.3;Act. 4;4 ajouts;Synthèse §2;18;oui;couvert
Indentation = structure;3e_C6.3;Act. 4 (consigne + vérif);Code indenté;Synthèse §2;19,27;oui;couvert
Implémenter une spécification (algorigramme);3e_C6.3;Act. 4;Programme v2;Synthèse §2;20;oui;couvert
Jeu d'essai (entrée/attendu/obtenu);3e_C6.3;Act. 5;5 sorties attendues;Synthèse §3;21;oui;couvert
Tests aux valeurs frontières;3e_C6.3;Act. 5 + R;Choix de trios;Synthèse §3;22;oui;couvert
Diagnostiquer par le test (bug >=);3e_C6.3;Act. 5b;Cause identifiée;Synthèse §3;23;oui;couvert
Non-régression;3e_C6.3;Act. 5 (correction);Discussion;Synthèse §3;24;oui;couvert
Verdict binaire (un échec = refus);3e_C6.3;Act. 5 (correction);—;Synthèse §3;25;oui;couvert
Tester sans machine (trace = test);3e_C6.3;Act. 5 (version C);Plan déroulé à la main;Synthèse §3;26;oui;couvert
Étendre la structure (nouvel elif);3e_C6.3;R (question 6);Choix justifié;Synthèse §2;28;oui;couvert
Versionner / comparer / revenir en arrière;3e_C6.3;CodeLab (Comparer, Réinitialiser);Usage de l'outil;Synthèse §2;30;oui;couvert
Démarche complète C6.3;3e_C6.3;Act. 3-5 + R;Séquence entière;Synthèse §2-3;29;oui;couvert
