"catégorie du classeur";"dépôt initial";"type détecté";"niveau de risque";"décision";"justification";"alternative recommandée"
"Skills & agents IA";"openai/skills";"COLLECTION_DE_SKILLS";"A — faible risque";"REFUSE_REDONDANT";"Collection active, mais skills système et plugins officiels déjà présents; openai/plugins est la voie de distribution actuelle.";"openai/plugins + skills système installés"
"Skills & agents IA";"anthropics/skills";"COLLECTION_DE_SKILLS";"B — risque maîtrisable";"REFUSE_REDONDANT";"75 scripts et fonctions DOCX/PDF/PPTX/XLSX déjà couvertes par les plugins officiels installés.";"documents/pdf/presentations/spreadsheets officiels installés"
"Skills & agents IA";"microsoft/skills";"COLLECTION_DE_SKILLS";"B — risque maîtrisable";"REFUSE_COLLECTION";"Collection Azure/M365 très large, 113 scripts et accès cloud/secrets; non nécessaire aux projets actuels.";"plugins Microsoft officiels ciblés dans openai/plugins"
"Skills & agents IA";"google/skills";"COLLECTION_DE_SKILLS";"B — risque maîtrisable";"REFUSE_COLLECTION";"Collection cloud/ads large avec scripts de déploiement; Google Drive officiel est déjà installé.";"Google Drive officiel installé; plugins Google ciblés"
"Skills & agents IA";"cloudflare/skills";"COLLECTION_DE_SKILLS";"B — risque maîtrisable";"REFUSE_REDONDANT";"Présence d'un MCP et de scripts réseau/secret dans turnstile-spin; le besoin web est couvert et le plugin Cloudflare officiel existe.";"openai/plugins: cloudflare 0.1.2"
"Skills & agents IA";"trailofbits/skills";"COLLECTION_DE_SKILLS";"C — installation seulement en bac à sable";"REFUSE_REDONDANT";"85 scripts, commandes destructives/installation repérées heuristiquement et deux MCP; Codex Security officiel est déjà installé.";"codex-security officiel installé"
"Skills & agents IA";"sickn33/agentic-awesome-skills";"RISQUE";"D — refusé";"REFUSE_RISQUE";"Agrégateur non auditable comme unité: 2868 scripts, 94 fichiers avec motifs destructifs et 20 avec motifs admin/persistance; provenance hétérogène.";"Choisir des plugins officiels ou des sous-composants audités individuellement"
"Skills & agents IA";"modelcontextprotocol/servers";"SERVEUR_MCP";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Configurer uniquement un serveur officiel ciblé et en lecture seule"
"Skills & agents IA";"modelcontextprotocol/python-sdk";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"modelcontextprotocol/typescript-sdk";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"openai/openai-agents-python";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"openai/codex";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Codex reste l'unique agent autorisé à écrire sur PLL-process/synthese-app"
"Skills & agents IA";"anthropics/claude-code";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Codex reste l'unique agent autorisé à écrire sur PLL-process/synthese-app"
"Skills & agents IA";"langchain-ai/langchain";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"langchain-ai/langgraph";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"crewAIInc/crewAI";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"microsoft/autogen";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"microsoft/semantic-kernel";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"run-llama/llama_index";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"pydantic/pydantic-ai";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"Agenta-AI/agenta";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"Doriandarko/maestro";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"browser-use/browser-use";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins Browser et Chrome installés"
"Skills & agents IA";"microsoft/playwright-mcp";"SERVEUR_MCP";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Plugins Browser et Chrome installés"
"Skills & agents IA";"github/github-mcp-server";"SERVEUR_MCP";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"GitHub plugin officiel installé (lecture seule pendant l'audit)"
"Skills & agents IA";"firecrawl/firecrawl-mcp-server";"SERVEUR_MCP";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Browser + recherche web contrôlée"
"Skills & agents IA";"awslabs/mcp";"SERVEUR_MCP";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Configurer uniquement un serveur officiel ciblé et en lecture seule"
"Skills & agents IA";"Azure/azure-mcp";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Dépôt archivé ou README annonçant son remplacement; voir alternative recommandée.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"googleapis/genai-toolbox";"SERVEUR_MCP";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Configurer uniquement un serveur officiel ciblé et en lecture seule"
"Skills & agents IA";"upstash/context7";"SERVEUR_MCP";"B — risque maîtrisable";"NE_PAS_INSTALLER_COMME_SKILL";"SERVEUR_MCP: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Configurer uniquement un serveur officiel ciblé et en lecture seule"
"Skills & agents IA";"mem0ai/mem0";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"letta-ai/letta";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"Significant-Gravitas/AutoGPT";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"All-Hands-AI/OpenHands";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"smol-ai/developer";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"BerriAI/litellm";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"langfuse/langfuse";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"promptfoo/promptfoo";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"Arize-ai/phoenix";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"deepset-ai/haystack";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"microsoft/markitdown";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"jina-ai/reader";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Browser + recherche web contrôlée"
"Skills & agents IA";"ComposioHQ/composio";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"n8n-io/n8n";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"activepieces/activepieces";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"Skills & agents IA";"FlowiseAI/Flowise";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Aucune installation Codex; utiliser le projet séparément si un besoin explicite apparaît"
"GEII";"arduino/Arduino";"APPLICATION";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"APPLICATION: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"arduino/ArduinoCore-avr";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"espressif/arduino-esp32";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"espressif/esp-idf";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"platformio/platformio-core";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"wokwi/wokwi-elements";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"micropython/micropython";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"adafruit/circuitpython";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"zephyrproject-rtos/zephyr";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"FreeRTOS/FreeRTOS";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"stm32duino/Arduino_Core_STM32";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"libopencm3/libopencm3";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"RIOT-OS/RIOT";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"ARMmbed/mbed-os";"ABANDONNE";"D — refusé";"REFUSE_ABANDONNE";"Aucune activité pertinente détectée depuis plus de 18 mois; à traiter comme miroir ou projet potentiellement abandonné.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"hathach/tinyusb";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
"GEII";"lvgl/lvgl";"BIBLIOTHEQUE";"C — installation seulement en bac à sable";"NE_PAS_INSTALLER_COMME_SKILL";"BIBLIOTHEQUE: le dépôt n'est pas un skill/plugin Codex installable et n'a pas été audité comme logiciel système.";"Skills personnels Arduino/EEA/Proteus/CAO déjà installés"
