notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis : moyenne sur groupe varié, test à deux sorties, exigence;3e_C2.1;Billet d'entrée (5 min, sans note);3 réponses + aiguillage;Synthèse §1 et §4;-;oui;couvert
Un chiffre agrégé peut être exact et inutilisable;3e_C2.1;Act. 1 a (~40 min);Les cinq taux par profil;Synthèse §1;1;oui;couvert
Le détail par profil : qui abandonne, qui jamais;3e_C2.1;Act. 1 b (tableur);Cinq taux + phrase de lecture;Synthèse §1;2;oui;couvert
Une moyenne sur un groupe varié ne décrit personne;3e_C2.1;Act. 1 a (77 s contre 41 et 123);Justification;Synthèse §1;3;oui;couvert
Fonctionner et rendre service ne sont pas la même chose;3e_C2.1;Act. 1 a (réponse du service technique);Justification;Synthèse §1;4;oui;couvert
L'étape qui concentre les abandons;3e_C2.1;Act. 1 b + corrigé;Lecture du fichier;Synthèse §1;5;oui;couvert
Un résumé chiffré efface ce qui n'est pas moyen (rappel 4e);3e_C2.1;Act. 1 + billet d'entrée;Aucune — repère de progression;Synthèse §1;6;oui;couvert
Détailler pour savoir sur qui agir;3e_C2.1;Act. 1 b;Phrase de lecture;Synthèse §1;7;oui;couvert
L'angle mort des concepteurs : les habitués réussissent;3e_C2.1;Act. 1 corrigé + Bonus;Observation du Bonus;Synthèse §1;8;oui;couvert
Le storyboard : quelques images, presque pas de mots;3e_C2.1;Act. 2 a (appariement);Appariement du vocabulaire;Synthèse §2;9;oui;couvert
La carte d'empathie : dit, fait, voit, ressent;3e_C2.1;Act. 2 a;Appariement du vocabulaire;Synthèse §2;10;oui;couvert
Le parcours utilisateur : les étapes dans l'ordre vécu;3e_C2.1;Act. 2 a;Appariement du vocabulaire;Synthèse §2;11;oui;couvert
Le tableau comparatif : le mode de l'arbitrage;3e_C2.1;Act. 2 a + corrigé;Appariement du vocabulaire;Synthèse §2;12;oui;couvert
L'angle mort du graphique : il ne dit pas le vécu;3e_C2.1;Act. 2 b + figure;Justification d'appariement;Synthèse §2;13;oui;couvert
L'angle mort de l'algorigramme : il suppose un lecteur formé;3e_C2.1;Act. 2 b;Justification d'appariement;Synthèse §2;14;oui;couvert
L'angle mort de la carte d'empathie : elle ne se mesure pas;3e_C2.1;Act. 2 b + corrigé;Justification d'appariement;Synthèse §2;15;oui;couvert
L'angle mort du storyboard : il tient peu de choses;3e_C2.1;Act. 2 b;Justification d'appariement;Synthèse §2;16;oui;couvert
Storyboard et carte d'empathie : deux mots du monde du travail;3e_C2.1;Act. 2 a (note de vocabulaire);Aucune — repère culturel;Synthèse §2;17;oui;couvert
Aucun mode n'est meilleur : il est bon pour quelqu'un;3e_C2.1;Act. 2 b + figure des six modes;Aucune — thèse de la séquence;Synthèse §3;18;oui;couvert
Le destinataire et l'intention décident du mode;3e_C2.1;Act. 2 b + figure des destinataires;Trois appariements;Synthèse §3;19;oui;couvert
Justifier par l'angle mort, pas par le point fort;3e_C2.1;Act. 2 c + aide de niveau 2;Trois justifications;Synthèse §3;20;oui;couvert
Une justification qui marche pour tous ne justifie rien;3e_C2.1;Act. 2 c (piège classique);Trois justifications;Synthèse §3;21;oui;couvert
Un même mode pour deux destinataires : possible, en l'adaptant;3e_C2.1;Act. 2 c + corrigé;Mention du changement;Synthèse §3;22;oui;couvert
Ce qu'on laisse de côté prouve qu'on a choisi;3e_C2.1;Act. 4 (troisième point de la défense);Défense en trois points;Synthèse §5;23;oui;couvert
Un mauvais appariement : un angle mort sur une contrainte;3e_C2.1;Act. 2 b + corrigé;Élimination argumentée;Synthèse §3;24;oui;couvert
Changer d'avis avec une raison n'est pas une erreur;3e_C2.1;Act. 4 (consigne);Mention du changement;Synthèse §5;25;oui;couvert
Un défaut d'ordre des opérations;3e_C2.1;Act. 3 (~30 min, incident I1);Algorigramme corrigé;Synthèse §4;26;oui;couvert
L'algorigramme est le seul mode qui montre un ordre;3e_C2.1;Act. 3 a;Justification;Synthèse §4;27;oui;couvert
Tester avant d'encaisser : supprimer plutôt que réparer;3e_C2.1;Act. 3 + corrigé;Algorigramme corrigé;Synthèse §4;28;oui;couvert
La fin en échec : dire et prévenir;3e_C2.1;Act. 3 + aide de niveau 2;Branche d'échec présente;Synthèse §4;29;oui;couvert
Entre la cause technique et le vécu, l'interprétation de l'usager;3e_C2.1;Act. 3 a (incident I3);Justification;Synthèse §4;30;oui;couvert
Produire une représentation et la défendre;3e_C2.1;Act. 4 (~30 min);Une représentation au choix + défense;Synthèse §5;19 et 20 et 23;oui (les six modes);couvert
Transfert : observer un objet du collège et représenter pour un destinataire réel;3e_C2.1;Bonus (3 défis) + corrigé entièrement traité;Observation, production, test auprès du destinataire;Synthèse §1 à §5;-;oui;couvert
