notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis — fonction technique, frottement, comparer sur des critères;5e_C1.2;Billet d'entrée (5 min, sans note);3 réponses + aiguillage;Synthèse §1;-;oui;couvert
Fonction technique : ce que l'objet doit faire, sans dire le moyen;5e_C1.2;Act. 1 b;Appariement;Synthèse §1;1;oui;couvert
Le piège de « à quoi ça sert » — la fonction d'usage;5e_C1.2;Billet + Act. 1 b;Appariement;Synthèse §1;2;oui;couvert
Principe technique : le phénomène employé, et l'endroit;5e_C1.2;Act. 1 b;Appariement;Synthèse §1 et §2;3;oui;couvert
Solution technique : l'objet concret qu'on achète;5e_C1.2;Act. 1 b;Appariement;Synthèse §1;4;oui;couvert
L'ordre fonction → principe → solution;5e_C1.2;Act. 1 b;Justification;Synthèse §1;5;oui;couvert
Une fonction laisse ouverts tous les principes;5e_C1.2;Act. 1 b;Appariement;Synthèse §1;6;oui;couvert
Le même phénomène à trois endroits différents;5e_C1.2;Act. 1 b;Appariement;Synthèse §2;7;oui;couvert
Ni matériau ni marque ne sont des principes;5e_C1.2;Act. 1 piège;Justification;Synthèse §1;8;oui;couvert
Un frottement se fait à deux : la pièce qui serre et celle qui est serrée;5e_C1.2;Act. 1 a — MANIPULATION;Relevé, ligne 2;Synthèse §3;9;oui;couvert
L'énergie du vélo devient de la chaleur;5e_C1.2;Act. 1 a — MANIPULATION;Relevé, ligne 3;Synthèse §3;10;oui;couvert
L'écart au repos : un frein doit savoir ne pas freiner;5e_C1.2;Act. 1 a — MANIPULATION;Observation;Synthèse §3;11;oui;couvert
L'endroit du frottement décide de l'exposition;5e_C1.2;Act. 1 a et correction;Relevé;Synthèse §2 et §3;12;oui;couvert
Le tambour fermé : protégé du sel, mais la chaleur y reste;5e_C1.2;Act. 1 correction;Justification;Synthèse §3;13 et 14;oui;couvert
Ce que l'objet apprend et qu'un tableau ne dit pas;5e_C1.2;Act. 1 correction;Relevé;Synthèse §3;15;oui;couvert
Une fiche technique est un résumé de mesures, donc vérifiable;5e_C1.2;Act. 2 a;Appariement;Synthèse §4;16;oui;couvert
L'écart entre deux conditions en dit plus que la valeur;5e_C1.2;Act. 2 a et c;Lecture du tableau;Synthèse §4;17;oui;couvert
Chaque colonne se lit dans son sens : le plus petit gagne parfois;5e_C1.2;Act. 2 c;Lecture du tableau;Synthèse §4;18;oui;couvert
Un chiffre n'est pas forcément une mesure : la note résume un avis;5e_C1.2;Act. 2 a;Appariement;Synthèse §4;19;oui;couvert
Aucune solution ne gagne partout;5e_C1.2;Act. 2 c;Lecture du tableau;Synthèse §4;20;oui;couvert
Le tableau donne les faits, pas leur importance;5e_C1.2;Act. 2 c (phrase finale);Phrase de synthèse;Synthèse §5;21;oui;couvert
Une mesure ne vaut qu'avec ses conditions;5e_C1.2;Act. 2 a (la pente);Appariement;Synthèse §4;22;oui;couvert
Comparer, c'est ne faire varier qu'une chose à la fois;5e_C1.2;Act. 2 b;Justification;Synthèse §4;23;oui;couvert
Le sel de l'air rend la corrosion décisive;5e_C1.2;Act. 3 a;Appariement;Synthèse §5;24;oui;couvert
La descente et la pluie rendent l'écart décisif;5e_C1.2;Act. 3 a;Appariement;Synthèse §5;25;oui;couvert
Compter les colonnes gagnées n'est pas comparer;5e_C1.2;Act. 3 a;Justification;Synthèse §5;26;oui;couvert
Le même tableau, un autre lieu, un autre gagnant;5e_C1.2;Act. 3 a et Bonus 1;Justification;Synthèse §5;27;oui;couvert
Défendre : un principe, deux chiffres, une perte;5e_C1.2;Act. 3 b;Défense écrite;Synthèse §6;28;oui;couvert
Certaines questions ont plusieurs réponses bien défendues;5e_C1.2;Act. 3 correction;Défense écrite;Synthèse §6;29;oui;couvert
Regarder les colonnes qui ne sont pas là;5e_C1.2;Bonus 3;Proposition d'un critère;Synthèse §4;30;oui;couvert
