# Données SIMULÉES à but pédagogique (ordres de grandeur d'un épisode cyclonique aux Antilles) — aucune donnée Météo-France réelle
horodatage;commune;vent_kmh;rafale_kmh;pression_hpa;pluie_mm;vigilance
2026-08-28 00:00:00;Sainte-Luce;37;50;1011.5;0;verte
2026-08-28 01:00:00;Sainte-Luce;38;59;1012.9;0;verte
2026-08-28 02:00:00;Sainte-Luce;34;46;1011.2;0.5;verte
2026-08-28 03:00:00;Sainte-Luce;30;43;1012.0;0.7;jaune
2026-08-28 04:00:00;Sainte-Luce;32;50;1012.2;0;jaune
2026-08-28 05:00:00;Sainte-Luce;40;62;1010.8;0;jaune
2026-08-28 06:00:00;Sainte-Luce;42;61;1009.9;0;jaune
2026-08-28 07:00:00;Sainte-Luce;41;63;1011.3;1.8;jaune
2026-08-28 08:00:00;Sainte-Luce;38;63;1009.9;0.9;jaune
2026-08-28 09:00:00;Sainte-Luce;42;64;1010.6;1.2;jaune
2026-08-28 10:00:00;Sainte-Luce;42;57;1008.6;0;jaune
2026-08-28 11:00:00;Sainte-Luce;35;50;1007.7;0;jaune
2026-08-28 12:00:00;Sainte-Luce;43;62;1007.8;0;jaune
2026-08-28 13:00:00;Sainte-Luce;40;65;1007.9;1.8;jaune
2026-08-28 14:00:00;Sainte-Luce;40;63;1006.1;0.9;jaune
2026-08-28 15:00:00;Sainte-Luce;51;77;1006.4;2.7;orange
2026-08-28 16:00:00;Sainte-Luce;51;78;1004.9;0;orange
2026-08-28 17:00:00;Sainte-Luce;47;67;1004.1;4.5;jaune
2026-08-28 18:00:00;Sainte-Luce;55;78;1004.4;2.1;orange
2026-08-28 19:00:00;Sainte-Luce;58;84;1002.6;1.7;orange
2026-08-28 20:00:00;Sainte-Luce;56;79;1002.5;5.4;orange
2026-08-28 21:00:00;Sainte-Luce;56;78;1002.6;3.9;orange
2026-08-28 22:00:00;Sainte-Luce;55;75;999.6;5.0;orange
2026-08-28 23:00:00;Sainte-Luce;65;93;998.5;4.4;orange
2026-08-29 00:00:00;Sainte-Luce;71;102;999.7;7.4;orange
2026-08-29 01:00:00;Sainte-Luce;62;92;998.0;6.4;orange
2026-08-29 02:00:00;Sainte-Luce;68;99;995.6;6.6;orange
2026-08-29 03:00:00;Sainte-Luce;73;110;996.3;6.5;orange
2026-08-29 04:00:00;Sainte-Luce;77;106;995.3;10.4;orange
2026-08-29 05:00:00;Sainte-Luce;78;113;993.4;7.7;orange
2026-08-29 06:00:00;Sainte-Luce;87;124;992.6;10.5;orange
2026-08-29 07:00:00;Sainte-Luce;81;113;989.6;13.5;orange
2026-08-29 08:00:00;Sainte-Luce;95;138;989.0;10.3;rouge
2026-08-29 09:00:00;Sainte-Luce;99;145;987.2;13.6;rouge
2026-08-29 10:00:00;Sainte-Luce;94;136;987.5;13.0;rouge
2026-08-29 11:00:00;Sainte-Luce;103;146;985.0;18.1;rouge
2026-08-29 12:00:00;Sainte-Luce;106;146;984.2;18.7;rouge
2026-08-29 13:00:00;Sainte-Luce;108;150;983.9;19.8;rouge
2026-08-29 14:00:00;Sainte-Luce;116;163;980.4;19.2;rouge
2026-08-29 15:00:00;Sainte-Luce;119;168;979.2;20.8;violette
2026-08-29 16:00:00;Sainte-Luce;121;171;977.7;26.0;violette
2026-08-29 17:00:00;Sainte-Luce;136;184;976.2;26.6;violette
2026-08-29 18:00:00;Sainte-Luce;133;181;976.3;28.0;violette
2026-08-29 19:00:00;Sainte-Luce;142;201;974.4;28.1;violette
2026-08-29 20:00:00;Sainte-Luce;143;198;971.9;31.5;violette
2026-08-29 21:00:00;Sainte-Luce;156;219;971.5;31.8;violette
2026-08-29 22:00:00;Sainte-Luce;158;217;969.6;34.9;violette
2026-08-29 23:00:00;Sainte-Luce;161;223;966.8;37.4;violette
