notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Comparer n'est pas préférer;4e_C7.4;Act. 1 et 2 (40 min);8 décisions + grille;§ Les cinq critères;q1, q2;couvert
Le produit courant × durée;4e_C7.4;Act. 0 (15 min);3 réponses après essai;§ Ce que le banc a montré;q3, q6;couvert (verrou : deux lignes éteintes)
La part de chaque consommateur;4e_C7.4;Act. 0 (15 min);2 réponses après essai;§ Ce que le banc a montré;q4, q5;couvert (verrou)
Le coût sur la durée du besoin;4e_C7.4;Act. 2 (20 min);1 calcul (131 piles);§ Ce que le banc a montré;q7, q8;couvert (verrou : 5 sources)
Lire et comparer des autonomies;4e_C7.4;Act. 2 (20 min);5 verdicts;§ Ce que le banc a montré;q9;couvert (verrou)
La disponibilité, critère décisif;4e_C7.4;Act. 3 (20 min);1 réponse;§ Les cinq critères;q10;couvert
Le manque quotidien d'un panneau;4e_C7.4;Act. 3 (20 min);1 calcul;§ Ce que le banc a montré;q11, q12;couvert
Regarder la charge plutôt que la source;4e_C7.4;Act. 4 (15 min);1 calcul + 1 phrase;§ Changer la charge;q13, q14, q15;couvert
Aucun candidat ne gagne partout;4e_C7.4;Act. 3 (20 min);recommandation chiffrée;§ Ce que le choix coûte;q16, q17;couvert
Combiner plusieurs sources;4e_C7.4;REFAIRE (10 min);4 lignes;§ Ce que le choix coûte;q18;couvert
Sécurité : eau, électricité, très basse tension;4e_C7.4;Encadré (5 min);lecture;§ Sécurité;q19;couvert
Le déchet est un critère technique;4e_C7.4;Act. 1 et 2 (40 min);1 décision + grille;§ Les cinq critères;q20;couvert
Ce qu'est un critère : distinguer ET compter;4e_C3.1;Act. 1 (20 min);8 décisions;§ Les cinq critères;q21, q22;couvert
Les critères viennent du besoin;4e_C3.1;Act. 1 et REFAIRE (30 min);1 phrase + 4 lignes;§ Les cinq critères;q23, q27, q28;couvert
Écrire les critères avant de regarder;4e_C3.1;Act. 1 (20 min);8 décisions;§ Les cinq critères;q24;couvert
Qualitatif, quantitatif, hiérarchie;4e_C3.1;Act. 3 (20 min);recommandation;§ Ce que le choix coûte;q25, q26, q29;couvert
Justifier avec un chiffre relevé;4e_C3.1;Act. 2 et 3 (40 min);1 calcul + recommandation;§ Ce que le choix coûte;q30;couvert
