categorie;date;territoire;indicateur;valeur;unite;nature_donnee;comparable_directement_en_CO2e;source;commentaire
feux;2026-07-24;France;surface_brulee_depuis_le_1er_janvier;50000;ha;observation_minimale;non;Ministere_de_l_Interieur;plus_de_50000_ha
feux;2023-12-31;Union_europeenne;surface_brulee;504002;ha;observation_cartographiee;non;JRC_EFFIS;annee_complete
feux;2023-12-31;Union_europeenne;emissions_estimees;20;MtCO2;estimation_modelee;oui;JRC_EFFIS;environ_20_MtCO2
activite_humaine;2026-07-25;France;voiture_thermique_moyenne_diesel;0.142;kgCO2e_par_km;facteur_d_emission;oui;Impact_CO2_ADEME;fabrication_et_usage_hors_infrastructures
activite_humaine;2026-07-25;France;TGV;0.00293;kgCO2e_par_passager_km;facteur_d_emission;oui;Impact_CO2_ADEME;passager_km
activite_humaine;2026-07-25;France;avion_moyen_long_courrier;0.167;kgCO2e_par_passager_km;facteur_d_emission;oui;Impact_CO2_ADEME;trainees_de_condensation_incluses
activite_humaine;2026-07-25;France;repas_avec_boeuf;4.97;kgCO2e_par_repas;facteur_d_emission;oui;Impact_CO2_ADEME_Agribalyse;repas_type
conflit;2024-06-18;Gaza;debris_generes;39000000;tonnes;estimation_PNUE;non;PNUE;donnee_preliminaire
conflit;2025-09-23;Gaza;debris_generes;61000000;tonnes;estimation_PNUE;non;PNUE;deuxieme_evaluation
conflit;2025-09-23;Gaza;batiments_endommages_ou_detruits;78;pourcent;estimation_PNUE;non;PNUE;base_estimee_250000_batiments
conflit;2025-09-23;Gaza;cultures_arborescentes_perdues;97;pourcent;teledetection_PNUE;non;PNUE;perte_depuis_2023
conflit;2025-09-23;Gaza;cultures_annuelles_perdues;82;pourcent;teledetection_PNUE;non;PNUE;perte_depuis_2023
conflit;2025-09-23;Gaza;formations_arbustives_perdues;95;pourcent;teledetection_PNUE;non;PNUE;perte_depuis_2023
