logiciel;domaine;usage_pedagogique_principal;statut;licence;compte_necessaire;hors_ligne;remarques
mBlock 5 (+ mLink);programmation/robotique;programmation graphique, mBot2, transition blocs vers code;CONFIRMÉ — UTILISÉ PAR PASCAL;gratuite;facultatif;partiel (mode direct exige connexion robot);compatibilité Arduino UNO R4 Minima NON acquise — à tester séparément
VittaScience;programmation/simulation;Arduino par blocs, simulation, blocs↔code, Python;ACCÈS EN LIGNE;gratuite (plateforme FR);facultatif;non (en ligne);plateforme prioritaire pour Arduino par blocs et simulation
Arduino IDE;programmation;C++ Arduino UNO classique et UNO R4 Minima, moniteur série;CONFIRMÉ — UTILISÉ PAR PASCAL;open source (GPL);non;oui;profils cartes distincts : arduino:avr:uno / arduino:renesas_uno:minima
Arduino CLI;programmation;compilation/téléversement en ligne de commande;OUTIL OPTIONNEL;open source;non;oui;utile pour tests automatisés des programmes élèves
Python + PyCharm;programmation/données;traitement de données, programmation textuelle;CONFIRMÉ — UTILISÉ PAR PASCAL;Python : PSF, PyCharm CE : Apache 2.0;non;oui;prévoir alternative navigateur pour postes limités
Proteus 9;simulation électronique;simulation Arduino UNO classique, terminal virtuel;INSTALLÉ — VERSION À VÉRIFIER;commerciale — LICENCE À VÉRIFIER;non;oui;ne PAS supposer la simulation de l'UNO R4 Minima
Sweet Home 3D;modélisation habitat;aménagement d'espaces, habitat, accessibilité;CONFIRMÉ — UTILISÉ PAR PASCAL;GPL;non;oui;prioritaire pour les projets habitat/aménagement
Blender;modélisation 3D;visualisation, animation de fonctionnement, rendus;INSTALLÉ — VERSION À VÉRIFIER;GPL;non;oui;réserver aux usages où un outil plus simple ne suffit pas ; vérifier puissance des postes
SolidWorks + eDrawings;CAO;pièces, assemblages, mise en plan, export STL;LICENCE À VÉRIFIER;commerciale éducation;oui (licence);oui;n'utiliser qu'après confirmation licence + compatibilité postes
FreeCAD;CAO;modélisation paramétrique, export STL;ALTERNATIVE GRATUITE;LGPL;non;oui;alternative systématique à SolidWorks
OpenSCAD;CAO programmée;modélisation paramétrique par code, lien maths;OUTIL OPTIONNEL;GPL;non;oui;élèves avancés / interdisciplinarité maths
Inkscape;dessin vectoriel;SVG pédagogiques, schémas, affiches;CONFIRMÉ — UTILISÉ PAR PASCAL;GPL;non;oui;outil de production des SVG du dépôt
GIMP;image;retouche, compression, détourage;CONFIRMÉ — UTILISÉ PAR PASCAL;GPL;non;oui;
draw.io (diagrams.net);diagrammes;chaînes info/énergie, algorigrammes, réseaux;ACCÈS EN LIGNE;Apache 2.0 (appli desktop dispo);non;oui (version desktop);
Fritzing;schémas de montage;représentation câblage Arduino;LICENCE À VÉRIFIER;open source, téléchargement payant sur site officiel;non;oui;ne remplace pas un vrai schéma électrique
Filius;réseaux;réseau local, IP, DHCP, DNS, ping;CONFIRMÉ — UTILISÉ PAR PASCAL;GPL;non;oui;prioritaire pour les premières activités réseau
Cisco Packet Tracer;réseaux;topologies, routage, trames (approfondissement);ACCÈS EN LIGNE — COMPTE À VÉRIFIER;gratuite avec compte Cisco NetAcad;oui;oui (après installation);vérifier l'accès au compte avant toute séquence dépendante
LibreOffice;bureautique/données;tableur données capteurs, compte rendus;CONFIRMÉ — UTILISÉ PAR PASCAL;MPL;non;oui;fournir les fichiers en ods + xlsx + csv
Microsoft 365;bureautique;idem, selon équipement établissement;LICENCE À VÉRIFIER;commerciale;oui;partiel;ne jamais rendre une séquence dépendante de 365 seul
GanttProject;gestion de projet;planification, jalons, diagramme de Gantt;OUTIL OPTIONNEL;GPL;non;oui;
XMind / FreeMind;cartes mentales;idéation, organisation des fonctions;OUTIL OPTIONNEL;XMind : freemium — LICENCE À VÉRIFIER / FreeMind : GPL;non;oui;préférer FreeMind si licence XMind non confirmée
Audacity;audio;podcast, analyse de signal;OUTIL OPTIONNEL;GPL;non;oui;
OpenShot / Shotcut;vidéo;compte rendu vidéo de projet;OUTIL OPTIONNEL;GPL;non;oui;
VLC;lecture multimédia;lecture et vérification des formats;CONFIRMÉ — UTILISÉ PAR PASCAL;GPL;non;oui;
MIT App Inventor;appli mobile;programmation événementielle, IHM mobile;ACCÈS EN LIGNE;gratuite;oui (compte Google);non;jamais de téléphone personnel obligatoire — prévoir émulateur/groupes
