notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Modifier un algorithme existant plutôt que le réécrire;4e_C9.1;Act. 2 (pseudo-code à compléter);Pseudo-code modifié au bon endroit;Synthèse élève §2;1;oui;couvert
Où s'ajoute une exigence nouvelle : dans la décision;4e_C9.1;Act. 2 b (a2_q1);Réponse justifiée;Synthèse élève §2;2;oui;couvert
« Entre 6 et 10 » = DEUX comparaisons reliées par ET;4e_C9.1;Act. 2 c (pseudo-code);Les deux bornes écrites;Synthèse élève §2;3;oui;couvert
ET contre OU : une erreur qui ne fait pas planter, elle fait mentir;4e_C9.1;Act. 3 a (a3_q3) + banc d'essai;Réponse + essai au banc;Synthèse élève §2;4;oui;couvert
Une entrée n'a pas besoin d'un capteur (l'heure);4e_C9.1;Act. 1 c (justification écrite);Justification rédigée;Synthèse élève §3;5;oui;couvert
Les trois formes de l'algorigramme et leurs sorties;4e_C9.1;Act. 2 a (ordre des blocs);Ordre juste;Synthèse élève §1;6;oui;couvert
Le losange ne fait rien, il demande;4e_C9.1;Act. 2 b (a2_q3);Réponse;Synthèse élève §1;7;oui;couvert
La boucle : pas de bloc FIN dans un système de surveillance;4e_C9.1;Act. 2 b (a2_q2);Réponse;Synthèse élève §1;8;oui;couvert
Suivre un chemin dans l'algorigramme (25 % à 23 h);4e_C9.1;Act. 2 b (a2_q4) + Act. 4 essai 3;Réponse + essai exécuté;Synthèse élève §4;9;oui;couvert
Non-régression : rejouer TOUT le jeu d'essais après modification;4e_C9.1;Act. 4 (tableau complet);Tableau rempli;Synthèse élève §6;10;oui;couvert
Traduire : chaque forme dessinée a son équivalent en code;4e_C9.2;Act. 3 a (a3_q2);Réponse;Synthèse élève §3;11;oui;couvert
Constantes de réglage écrites en haut et nommées;4e_C9.2;Act. 3 a (a3_q1);Réponse;Synthèse élève §3;12;oui;couvert
Losange = if / else : les deux branches;4e_C9.2;Act. 3 a (lecture du code);Réponse;Synthèse élève §3;13;oui;couvert
L'indentation est la structure, pas la présentation;4e_C9.2;Act. 3 (écriture dans l'éditeur);Programme exécuté;Synthèse élève §3;14;oui;couvert
= affecte, == compare;4e_C9.2;Act. 3 (écriture dans l'éditeur);Programme exécuté;Synthèse élève §3;15;oui;couvert
Blocs et texte : deux écritures d'une même pensée;4e_C9.2;Act. 3 (mode mixte Vittascience);Programme enregistré;Synthèse élève §3;16;oui;couvert
Du programme d'essai au matériel : entrées et sorties changent;4e_C9.2;Act. 3 a (a3_q4);Réponse;Synthèse professeur §4;17;oui;couvert
Les deux chaînes et le préactionneur (relais);4e_C9.2;Act. 1 a et b;Organes classés + justification;Synthèse professeur §4;18;oui;couvert
L'ordre des lignes est l'ordre d'exécution;4e_C9.2;Act. 3 (exécution réelle);Journal chiffré;Synthèse élève §3;19;oui;couvert
Nommer les variables pour rendre l'erreur visible;4e_C9.2;Act. 3 (relecture du code de référence);Journal;Synthèse élève §3;20;oui;couvert
Ce que prouve un essai nominal : rien sur le seuil;4e_C9.3;Act. 4 (essais 1 et 2);Tableau rempli;Synthèse élève §4;21;oui;couvert
La valeur frontière sépare < de <=;4e_C9.3;Act. 4 (essais 4 et 5) + banc;Essais exécutés au banc;Synthèse élève §4;22;oui;couvert
Le résultat ATTENDU s'écrit AVANT l'exécution;4e_C9.3;Act. 4 a (colonne attendu);Colonne remplie avant;Synthèse élève §4;23;oui;couvert
Le cas absurde : vérifier ses entrées avant d'y croire;4e_C9.3;Act. 4 (essai 6) + Bonus défi technique;Réponse + garde écrite;Synthèse élève §4;24;oui;couvert
Un programme peut être juste et inutilisable;4e_C9.3;Act. 5 a (trace + a5_q2);Diagnostic rédigé;Synthèse élève §5;25;oui;couvert
L'hystérésis : deux seuils et une bande morte;4e_C9.3;Act. 5 c + démonstration au banc;Programme à trois cas;Synthèse élève §5;26;oui;couvert
Le troisième cas : ne RIEN faire;4e_C9.3;Act. 5 c (a5_q4);Programme à trois cas;Synthèse élève §5;27;oui;couvert
La mémoire d'état, prix du troisième cas;4e_C9.3;Act. 5 c (a5_q5);Réponse;Synthèse élève §5;28;oui;couvert
Stabilité contre réactivité : un arbitrage, pas une optimisation;4e_C9.3;Act. 5 (correction) + Act. 6 (justification);Justification chiffrée;Synthèse élève §5;29;oui;couvert
Mettre au point en quatre temps, dont le re-test;4e_C9.3;Act. 5 d (démonstration au banc);Deux compteurs relevés;Synthèse élève §6;30;oui;couvert
Réinvestir une structure sur un autre système;4e_C9.3;Act. 6 (lampadaire, sans squelette);Programme complet + justification;Synthèse élève §7;29;oui;couvert
