notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis : exigence, cycle de vie, grandeur avant appareil;3e_C3.1;Billet d'entrée (5 min, sans note);3 réponses + aiguillage;Synthèse §1;-;oui;couvert
Recenser n'est pas évaluer;3e_C3.1;Act. 1 a (~30 min) + figure;Liste écrite;Synthèse §1;1 et 7;oui;couvert
Une liste se juge à sa diversité;3e_C3.1;Act. 1 a;Liste couvrant 3 familles;Synthèse §1;2;oui;couvert
Les trois familles de solutions;3e_C3.1;Act. 1 a + figure;Familles nommées;Synthèse §1;3;oui;couvert
Réduire le besoin est une solution technique;3e_C3.1;Act. 1 b + act. 2;Justification;Synthèse §1 et §5;4;oui;couvert
Partir du trajet du problème;3e_C3.1;Act. 1 a;Méthode de recensement;Synthèse §1;5;oui;couvert
Le biais de l'appareil à installer;3e_C3.1;Act. 1 b;Analyse critique;Synthèse §1;6;oui;couvert
Ne pas filtrer pendant le recensement;3e_C3.1;Act. 1 b + correction;Liste non filtrée;Synthèse §1;7;oui;couvert
On peut composer plusieurs solutions;3e_C3.1;Act. 1 + act. 4;Combinaison proposée;Synthèse §4;8 et 24;oui;couvert
Évaluer, c'est confronter à des critères;3e_C3.3;Act. 2 (~35 min);Grille construite;Synthèse §2;9;oui;couvert
L'indice de réparabilité et la durée de service;3e_C3.3;Act. 2 b;Critère pondéré;Synthèse §2;10;oui;couvert
Le coût se compte sur la durée d'usage;3e_C3.3;Act. 2 b + aide 2;Coût sur dix ans calculé;Synthèse §2;11;oui;couvert
Une case vide n'est pas une donnée manquante;3e_C3.3;Act. 2 a;Lecture argumentée;Synthèse §2;12;oui;couvert
Pondérer, c'est décider et l'assumer;3e_C3.3;Act. 2 b et c (version étayée);Pondération défendue;Synthèse §2;13 et 14;oui;couvert
Deux pondérations honnêtes, deux résultats;3e_C3.3;Act. 2 b + correction;Comparaison entre groupes;Synthèse §2;14;oui;couvert
Une performance se paie quelque part;3e_C3.3;Act. 2 a;Analyse du climatiseur;Synthèse §2;15;oui;couvert
Peu de critères, bien choisis;3e_C3.3;Act. 2 b + aide 1;Grille resserrée;Synthèse §2;16;oui;couvert
Un protocole s'écrit pour un autre;3e_C3.4;Act. 3 a (~30 min);Protocole rédigé;Synthèse §3;17;oui;couvert
Ce qu'un protocole doit contenir;3e_C3.4;Act. 3 a et c;Cinq étapes numérotées;Synthèse §3;18;oui;couvert
L'air se stratifie : plusieurs points;3e_C3.4;Act. 3 a;Points de mesure choisis;Synthèse §3;19;oui;couvert
On dimensionne sur le cas le plus défavorable;3e_C3.4;Act. 3 a;Moments de relevé;Synthèse §3;20;oui;couvert
Les conditions à maintenir constantes;3e_C3.4;Act. 3 a et c;Conditions listées;Synthèse §3;21;oui;couvert
Noter les conditions extérieures;3e_C3.4;Act. 3 b;Relevé complet;Synthèse §3;22;oui;couvert
La mesure fixe l'exigence;3e_C3.4;Act. 3 b + act. 4;Exigence de 9 °C établie;Synthèse §3 et §4;23;oui;couvert
Les trois piliers du développement durable;3e_C3.2;Act. 4 (~25 min) + act. 5;Argumentation à trois entrées;Synthèse §5;25;oui;couvert
Le pilier social, le plus souvent oublié;3e_C3.2;Act. 4;Analyse du renoncement;Synthèse §5;26;oui;couvert
Composer plutôt que choisir;3e_C3.2;Act. 4;Combinaison chiffrée;Synthèse §4;24;oui;couvert
Additionner des effets donne un ordre de grandeur;3e_C3.2;Act. 4 + correction;Formulation prudente;Synthèse §4 et §6;27;oui;couvert
Le cycle de vie, de l'extraction à la fin de vie;3e_C3.2;Act. 4 + act. 5;Argument de cycle de vie;Synthèse §5;28;oui;couvert
Assumer la limite de sa recommandation;3e_C3.2;Act. 5 (~20 min, version étayée);Note au principal;Synthèse §5;29;oui;couvert
Transposer, c'est refaire l'analyse;3e_C3.2;Act. 5 + bonus;Adaptation martiniquaise;Synthèse §5;30;oui;couvert
