notion,seance,qcm_questions,synthese
Protocole de test (étapes + résultat attendu),Act.1,1-3;9;19,Synthèse élève § protocole
Analyse de résultats (conforme/partiel/non),Act.2,6;8;13;17,Synthèse élève § analyser
Décision de validation,Act.2,5;7;14;18;22,Synthèse élève § valider
Améliorations liées aux tests,Act.3,10;20,Synthèse élève § améliorer
Ancrage climatique Martinique,Bonus + déclencheur,4;15;28,Synthèse élève § Martinique
Sécurité très basse tension,Fiche péda,12;25,Synthèse professeur
Versions A/B/C,Fiche péda,11,Synthèse professeur
Production observable C8,Fiche + bilan,24,Synthèse professeur
Lien C7→C8,Réinvestissement,26,—
CRCN données / document,Fiche,23,Synthèse professeur
