retrait;etape;libelle_etape;duree_s;reprise_necessaire
1;arriver;s'approcher de la borne et lire l'écran;14;non
1;identifier;présenter sa carte ou son téléphone;11;non
1;choisir;parcourir la liste des vélos disponibles;34;non
1;deverrouiller;attendre le déverrouillage du point d'ancrage;49;oui
1;partir;sortir le vélo de son ancrage;12;non
2;arriver;s'approcher de la borne et lire l'écran;7;non
2;identifier;présenter sa carte ou son téléphone;15;non
2;choisir;parcourir la liste des vélos disponibles;55;non
2;deverrouiller;attendre le déverrouillage du point d'ancrage;40;oui
2;partir;sortir le vélo de son ancrage;13;non
3;arriver;s'approcher de la borne et lire l'écran;11;non
3;identifier;présenter sa carte ou son téléphone;21;non
3;choisir;parcourir la liste des vélos disponibles;52;non
3;deverrouiller;attendre le déverrouillage du point d'ancrage;46;oui
3;partir;sortir le vélo de son ancrage;12;non
4;arriver;s'approcher de la borne et lire l'écran;9;non
4;identifier;présenter sa carte ou son téléphone;11;non
4;choisir;parcourir la liste des vélos disponibles;22;non
4;deverrouiller;attendre le déverrouillage du point d'ancrage;24;non
4;partir;sortir le vélo de son ancrage;10;non
5;arriver;s'approcher de la borne et lire l'écran;10;non
5;identifier;présenter sa carte ou son téléphone;13;non
5;choisir;parcourir la liste des vélos disponibles;48;non
5;deverrouiller;attendre le déverrouillage du point d'ancrage;20;non
5;partir;sortir le vélo de son ancrage;13;non
6;arriver;s'approcher de la borne et lire l'écran;9;non
6;identifier;présenter sa carte ou son téléphone;23;non
6;choisir;parcourir la liste des vélos disponibles;62;non
6;deverrouiller;attendre le déverrouillage du point d'ancrage;25;non
6;partir;sortir le vélo de son ancrage;13;non
7;arriver;s'approcher de la borne et lire l'écran;5;non
7;identifier;présenter sa carte ou son téléphone;8;non
7;choisir;parcourir la liste des vélos disponibles;27;non
7;deverrouiller;attendre le déverrouillage du point d'ancrage;83;oui
7;partir;sortir le vélo de son ancrage;9;non
8;arriver;s'approcher de la borne et lire l'écran;7;non
8;identifier;présenter sa carte ou son téléphone;17;non
8;choisir;parcourir la liste des vélos disponibles;56;non
8;deverrouiller;attendre le déverrouillage du point d'ancrage;72;oui
8;partir;sortir le vélo de son ancrage;16;non
9;arriver;s'approcher de la borne et lire l'écran;10;non
9;identifier;présenter sa carte ou son téléphone;4;non
9;choisir;parcourir la liste des vélos disponibles;37;non
9;deverrouiller;attendre le déverrouillage du point d'ancrage;16;non
9;partir;sortir le vélo de son ancrage;9;non
10;arriver;s'approcher de la borne et lire l'écran;9;non
10;identifier;présenter sa carte ou son téléphone;21;non
10;choisir;parcourir la liste des vélos disponibles;36;non
10;deverrouiller;attendre le déverrouillage du point d'ancrage;25;non
10;partir;sortir le vélo de son ancrage;10;non
11;arriver;s'approcher de la borne et lire l'écran;9;non
11;identifier;présenter sa carte ou son téléphone;15;non
11;choisir;parcourir la liste des vélos disponibles;53;non
11;deverrouiller;attendre le déverrouillage du point d'ancrage;74;oui
11;partir;sortir le vélo de son ancrage;17;non
12;arriver;s'approcher de la borne et lire l'écran;11;non
12;identifier;présenter sa carte ou son téléphone;11;non
12;choisir;parcourir la liste des vélos disponibles;26;non
12;deverrouiller;attendre le déverrouillage du point d'ancrage;28;oui
12;partir;sortir le vélo de son ancrage;17;non
13;arriver;s'approcher de la borne et lire l'écran;8;non
13;identifier;présenter sa carte ou son téléphone;18;non
13;choisir;parcourir la liste des vélos disponibles;7;non
13;deverrouiller;attendre le déverrouillage du point d'ancrage;37;non
13;partir;sortir le vélo de son ancrage;10;non
14;arriver;s'approcher de la borne et lire l'écran;9;non
14;identifier;présenter sa carte ou son téléphone;7;non
14;choisir;parcourir la liste des vélos disponibles;62;non
14;deverrouiller;attendre le déverrouillage du point d'ancrage;23;non
14;partir;sortir le vélo de son ancrage;23;non
15;arriver;s'approcher de la borne et lire l'écran;10;non
15;identifier;présenter sa carte ou son téléphone;8;non
15;choisir;parcourir la liste des vélos disponibles;41;non
15;deverrouiller;attendre le déverrouillage du point d'ancrage;35;non
15;partir;sortir le vélo de son ancrage;13;non
16;arriver;s'approcher de la borne et lire l'écran;8;non
