notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Inspection visuelle : examiner sans démonter;5e_C5.1;Act. 1 (séance 1, inspecteur 6 zones);6 zones examinées (verrou 6/6);Synthèse §1;1;oui;couvert
Symptôme vs cause;5e_C5.1;Act. 1 (constat du gardien);Distinction verbalisée;Synthèse §1;2;oui;couvert
Anomalie grave sur pièce de protection (capot);5e_C5.1;Act. 1 (zone 3);Classement justifié;Synthèse §1;3;oui;couvert
Lire les voyants d'état;5e_C5.1;Act. 1 (zone 5);Classement;Synthèse §1;4;oui;couvert
Comparer aux objets identiques (fausse piste du panneau sale);5e_C5.1;Act. 1 (zone 1);Raisonnement de comparaison;Synthèse §1;5;oui;couvert
Anomalie franche (câble débranché);5e_C5.1;Act. 1 (zone 6);Classement;Synthèse §1;6;oui;couvert
Ordre de la démarche (observer avant d'agir);5e_C5.1;Act. 1 + rappel act. 2;Conclusion d'inspection;Synthèse §1;7;oui;couvert
Sécurité avant de toucher (couper + adulte);5e_C5.1;Act. 1c (question sécurité);Réponse sécurité;Synthèse §1;8;oui;couvert
État normal comme référence;5e_C5.1;Act. 1 (aides + correction);Comparaison explicite;Synthèse §1;9;oui;couvert
Noter des faits, pas des conclusions;5e_C5.1;Act. 1 (carnet d'inspection);Carnet recopié au cahier;Synthèse §1;10;oui;couvert
Étape n°1 : couper l'alimentation;5e_C5.2;Act. 2 (protocole + simulateur);Ordre + exécution;Synthèse §2;11;oui;couvert
Définition d'un protocole;5e_C5.2;Act. 2 (document technicien);Remise en ordre 1→6;Synthèse §2;12;oui;couvert
Ne jamais sauter d'étape;5e_C5.2;Act. 2b (remise à zéro du simulateur);Expérience vécue;Synthèse §2;13;oui;couvert
Connecteur : sens et clic, jamais forcer;5e_C5.2;Act. 2 (étape 3 + correction);Étape exécutée;Synthèse §2;14;oui;couvert
Cause racine vs conséquence (le capot);5e_C5.2;Act. 2 (étape 4 + question);Justification;Synthèse §2;15;oui;couvert
Réagir si le voyant reste éteint;5e_C5.2;Act. 2 (correction étape 5);Lecture correction;Synthèse §2;16;oui;couvert
Le test final prouve la réparation;5e_C5.2;Act. 2c + simulateur (étape 6);Test simulé réussi (verrou);Synthèse §2;17;oui;couvert
TBT vs secteur 230 V;5e_C5.2;Act. 2 + encadrés sécurité;Réponse sécurité;Synthèse §2;18;oui;couvert
Suivre ET comprendre (vers la rédaction en 3e);5e_C5.2;Act. 2c (questions du dépanneur);2 réponses;Synthèse §2;19;oui;couvert
Réparer plutôt que jeter;5e_C5.2;Situation + act. 4;Décision argumentée;Synthèse §2;20;oui;couvert
Impression 3D : procédé additif couche par couche;5e_C5.3;Act. 3 (poste 1);Association;Synthèse §3;21;oui;couvert
Découpe laser : pièces plates par enlèvement;5e_C5.3;Act. 3 (poste 2);Association;Synthèse §3;22;oui;couvert
Choisir le procédé selon la pièce (capot en volume);5e_C5.3;Act. 3b (question fabricant);Choix justifié;Synthèse §3;23;oui;couvert
Perceuse à colonne : trous guidés;5e_C5.3;Act. 3 (poste 3);Association;Synthèse §3;24;oui;couvert
Établi : finition (limer, poncer, ébavurer);5e_C5.3;Act. 3 (poste 4);Association;Synthèse §3;25;oui;couvert
Deux familles : additif / enlèvement;5e_C5.3;Act. 3b + cahier;2 familles notées au cahier;Synthèse §3;26;oui;couvert
Sécurité atelier (lunettes, cheveux, autorisation);5e_C5.3;Act. 3b (question sécurité);Réponse sécurité;Synthèse §3;27;oui;couvert
Refabriquer une pièce introuvable;5e_C5.3;Act. 3 + act. 4 (vélo);Transfert;Synthèse §3;28;oui;couvert
Choix du matériau selon l'usage (PETG dehors);5e_C5.3;Act. 3 (correction) + bonus conception;Lecture correction;Synthèse §3;29;oui;couvert
L'atelier partagé de la commune (fablab);5e_C5.3;Act. 3 (situation) + sortie possible;Découverte;Synthèse §3;30;oui;couvert
