notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Fonctions des constituants (chaîne d'énergie);4e_C4.1;Act. 1a;5 associations;§1;1,2;couvert
Transformations et natures d'énergie;4e_C4.2;Act. 1b;Trajet complet;§1;3,4;couvert
Stockage vs conversion;4e_C4.2;Act. 1b (e1_8);Distinction;§1;5;couvert
Les trois flux (énergie, eau, information);4e_C4.2;Act. 1 (schéma);Lecture flux;§1;6;couvert
Pont information → énergie (la carte);4e_C4.1;Act. 1b (e1_9);Identification;§1;7;couvert
Chaîne d'information de l'objet réel;4e_C4.4;Act. 2;4 associations;§1;8;couvert
Mesure brute vs donnée utile;4e_C4.5;Act. 3b (d3_1);Explication calcul;§2;9;couvert
Horodatage et identification;4e_C4.5;Act. 3b (d3_2);Justification;§2;10;couvert
1 ligne = 1 mesure;4e_C4.6;Act. 3b (d3_3);Règle énoncée;§2;11;couvert
Rôle de la colonne d'identification;4e_C4.6;Act. 3a+b (explorateur, verrou 3/3);Filtres exécutés;§2;12;couvert
Lire une décision dans la table;4e_C4.6;Act. 3b (d3_5);Analyse ligne 356;§2;13;couvert
Tri / filtre / courbe;4e_C4.6;Act. 3b (d3_6);3 exploitations;§2;14;couvert
Téléverser vs télécharger;4e_C4.5;Act. 3 (correction);Vocabulaire;§2;15;couvert
Objet automatisé vs objet connecté;4e_C4.4;Situation + bilan;Distinction;§2;16;couvert
Esprit critique sur une donnée;4e_C4.5;Act. 3 (correction) + QCM;Réflexe de vérification;§2;17;couvert
Adresse IP = adresse unique;4e_C4.7;Act. 4 (plan réseau);Lecture du plan;§3;18;couvert
IP fixe : pourquoi et pour qui;4e_C4.7;Act. 4b (r4_1);Justification;§3;19;couvert
DHCP : pourquoi et pour qui;4e_C4.7;Act. 4b (r4_2);Justification;§3;20;couvert
Conflit d'adresses;4e_C4.8;Act. 4a (panne 2);Diagnostic simulé;§3;21;couvert
Passerelle;4e_C4.8;Act. 4a (panne 3);Diagnostic simulé;§3;22;couvert
Portée / liaison physique;4e_C4.8;Act. 4a (panne 1);Diagnostic simulé;§3;23;couvert
Choisir une IP fixe (libre, hors DHCP);4e_C4.7;Act. 4b (r4_4);Règle du technicien;§3;24;couvert
Démarche de diagnostic (un test à la fois);4e_C4.8;Act. 4a (verrou 3/3);3 pannes résolues;§3;25;couvert
Intérêt de la simulation;4e_C4.9;Act. 4a (simulateur);Expérience vécue;§3;26;couvert
Réseau local vs internet (192.168.x.x);4e_C4.7;Act. 4 (plan) + QCM;Lecture;§3;27;couvert
Indices d'impression 3D (couches);4e_C4.3;Act. 5 (p5_1);Diagnostic pièce;§4;28;couvert
Indices d'injection (joint, nervures);4e_C4.3;Act. 5 (p5_2, p5_5);Diagnostic pièce;§4;29;couvert
Choix du procédé : forme + quantité;4e_C4.3;Act. 5 (p5_6);Justification;§4;30;couvert
