notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis — additionner, pourcentage, estimation contre mesure;4e_C1.1;Billet d'entrée (5 min, sans note);3 réponses + aiguillage;Synthèse §1;-;oui;couvert
Un système existe pour un besoin, pas parce qu'un composant existe;4e_C1.1;Situation et bilan;Justification;Synthèse §5;1;oui;couvert
On n'additionne que ce qui a la même unité et le même sens;4e_C1.1;Act. 1 b et c;Trois lignes de justification;Synthèse §1;2;oui;couvert
Un cumul grandit toute l'année;4e_C1.1;Act. 1 b;Ligne 1 de la justification;Synthèse §1;3;oui;couvert
Un état instantané se compare, il ne se cumule pas;4e_C1.1;Act. 1 b;Ligne 2 de la justification;Synthèse §1;4;oui;couvert
Une proportion n'a de sens qu'avec son ensemble de référence;4e_C1.1;Act. 1 b;Ligne 3 de la justification;Synthèse §1;5;oui;couvert
La colonne « statut » dit ce qu'on a le droit de faire du nombre;4e_C1.1;Act. 1 b;Appariement;Synthèse §1;6;oui;couvert
Un chiffre sans source ne se discute pas;4e_C1.1;Act. 1 b;Appariement;Synthèse §1;7;oui;couvert
Un seuil unique produit des fausses alertes — mesure de la cour;4e_C1.1;Act. 1 a — MESURE RÉELLE;Relevé de température et conséquence;Synthèse §4;8;oui;couvert
Deux indices indépendants se trompent rarement ensemble;4e_C1.1;Act. 4 a;Exigence n°2;Synthèse §4;9;oui;couvert
L'absence de donnée n'est pas une preuve;4e_C1.1;Act. 4 a;Appariement;Synthèse §4;10;oui;couvert
Entre le besoin et l'objet, il y a l'information nécessaire;4e_C1.1;Act. 4 tableau;Tableau besoin–information–contrainte;Synthèse §5;11;oui;couvert
L'analyse externe s'arrête avant le choix du composant;4e_C1.1;Bilan;Justification;Synthèse §5;12;oui;couvert
Un proxy est légitime, un proxy tu ne l'est plus;4e_C1.2;Act. 2 a;Appariement;Synthèse §2;13;oui;couvert
Construire un ordre de grandeur;4e_C1.2;Act. 2 a et b;Le ratio et l'estimation;Synthèse §2;14;oui;couvert
Ce qu'une estimation ignore;4e_C1.2;Act. 2 a;Avertissement, point 2;Synthèse §2;15;oui;couvert
Une estimation sans avertissement devient une affirmation;4e_C1.2;Act. 2 b;Avertissement, point 3;Synthèse §2;16;oui;couvert
Véhicule-km et passager-km ne se comparent pas;4e_C1.2;Act. 3;Les quatre équivalences;Synthèse §3;17;oui;couvert
Le titre ne doit pas promettre plus que le calcul;4e_C1.2;Act. 3;Appariement;Synthèse §3;18;oui;couvert
Une équivalence traduit une échelle, elle n'identifie pas;4e_C1.2;Act. 3;Justification;Synthèse §3;19;oui;couvert
Une équivalence n'est jamais neutre;4e_C1.2;Bonus 3;Deux équivalences opposées;Synthèse §3;20;oui;couvert
Toute évolution technique se paie;4e_C1.2;Act. 3 et garde-fous;Justification;Synthèse §6;21;oui;couvert
Une exigence se reconnaît à ce qu'on sait la vérifier;4e_C1.3;Act. 4 b;Cinq exigences;Synthèse §5;22;oui;couvert
Exigence ou solution : ne pas les échanger;4e_C1.3;Act. 4 a et b;Cinq exigences sans composant;Synthèse §5;23;oui;couvert
L'ordre besoin → information → contrainte → exigence;4e_C1.3;Act. 4 tableau;Tableau complété;Synthèse §5;24;oui;couvert
Une évolution se justifie par un besoin, pas par sa nouveauté;4e_C1.3;Act. 4 et bilan;Justification;Synthèse §5;25;oui;couvert
Le système propose, un humain décide;4e_C1.3;Act. 4 a et garde-fous;Exigence n°5;Synthèse §6;26;oui;couvert
Reconnaître une exigence bien formée;4e_C1.3;Act. 4 b;Cinq exigences;Synthèse §5;27;oui;couvert
Les exigences serviront à choisir, puis à valider;4e_C1.3;Bilan;Justification;Synthèse §5;28;oui;couvert
L'incertitude s'accumule le long de la chaîne;4e_C1.3;Act. 2 et corrigé de l'act. 4;Avertissement;Synthèse §5;29;oui;couvert
Ce qu'on transmet au Thème 2 : des questions et des exigences;4e_C1.3;Bilan;Cinq exigences;Synthèse §5;30;oui;couvert
