fichier;theme;niveau;lot;bilan;marque_bilan;bonus;bonus_apres_bilan;champs_bonus;textarea;input;select;groupe;corrige_bonus;lien_qcm;qcm_apres_bilan;champs_bilan
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/3e/3e_C1.1/sequence_3e_C1.1-C1.4_tsinghua_feux.html;1;3e;3e_C1.1;true;titre;true;false;3;3;0;0;0;true;true;true;9
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/3e/3e_C1.5/sequence-numerique-societe-economie-environnement-sante.html;1;3e;3e_C1.5;false;;true;;0;0;0;0;0;false;true;;0
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/4e/4e_C1.1/sequence_4e_C1.1-C1.3_tsinghua_feux.html;1;4e;4e_C1.1;true;fonction (3 code(s));true;false;3;3;0;0;0;true;true;true;8
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/4e/4e_C1.4/sequence-cybersecurite-protection-donnees.html;1;4e;4e_C1.4;false;;true;;0;0;0;0;0;false;true;;0
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.1/sequence_5e_C1.1-C1.6_chengdu_air.html;1;5e;5e_C1.1;true;titre;true;false;3;3;0;0;0;true;true;true;9
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.2/sequence_5e_C1.2_sainte_luce_freinage.html;1;5e;5e_C1.2;true;phrase dans un champ;true;true;0;0;0;0;0;true;true;true;6
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.3/sequence_C1.3-C1.4_SI_gestion_donnees.html;1;5e;5e_C1.3;true;titre;true;true;0;0;0;0;0;false;true;false;3
theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.5/sequence_5e_C1.5-C1.6_le-compte-du-club.html;1;5e;5e_C1.5;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/3e/3e_C2.1/sequence_3e_C2_pekin_borne.html;1;3e;3e_C2.1;true;titre;true;true;0;0;0;0;0;true;true;true;4
theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/4e/4e_C2.1/sequence_4e_C2_hangzhou_borne.html;1;4e;4e_C2.1;true;titre;true;true;0;0;0;0;0;true;true;true;5
theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/5e/5e_C2.1/sequence_5e_C2_shenzhen_station_velos.html;1;5e;5e_C2.1;true;titre;true;true;0;0;0;0;0;false;true;true;5
theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/3e/3e_C3.1/sequence_3e_C3.1-C3.4_shenzhen.html;1;3e;3e_C3.1;true;titre;true;true;0;0;0;0;0;false;true;true;8
theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/4e/4e_C3.1/sequence_4e_C3.1-C3.3_hangzhou.html;1;4e;4e_C3.1;true;titre;true;true;0;0;0;0;0;false;true;true;7
theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/5e/5e_C3.1/sequence_5e_C3.1-C3.4_shanghai.html;1;5e;5e_C3.1;true;titre;true;true;0;0;0;0;0;false;true;true;8
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.1/sequence_3e_C4.1-C4.2_energie_station.html;2;3e;3e_C4.1;true;phrase dans un champ;true;true;0;0;0;0;0;false;true;true;2
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.3/sequence_3e_C4.3-C4.6_station_alerte_cyclonique.html;2;3e;3e_C4.3;true;titre;true;true;0;0;0;0;0;false;true;true;4
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.7/sequence_3e_C4.7-C4.8_internet_sainte_luce.html;2;3e;3e_C4.7;true;titre;true;true;0;0;0;0;0;false;true;true;4
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/3e/3e_C4.8/sequence_3e_C4.7-C4.8_pont_numerique_packet_tracer.html;2;3e;3e_C4.8;true;titre;true;true;0;0;0;0;0;false;true;true;6
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.1/sequence_4e_C4.1-C4.9_jardin_connecte.html;2;4e;4e_C4.1;true;phrase dans un champ;true;true;0;0;0;0;0;false;true;false;4
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.1_book-train/sequence_4e_C4.1-C4.2-C4.4_book-train.html;2;4e;?;true;titre;true;true;0;0;0;0;0;false;true;true;12
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/4e/4e_C4.7/sequence_4e_C4.7-C4.9_sos_serre_packet_tracer.html;2;4e;4e_C4.7;true;titre;true;true;0;0;0;0;0;false;true;true;7
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.1/sequence_5e_C4.1-C4.8_lampadaire_intelligent.html;2;5e;5e_C4.1;true;titre;true;true;0;0;0;0;0;false;true;true;4
theme-2-structure-fonctionnement-comportement/C4-decrire-et-caracteriser-lorganisation/5e/5e_C4.7/sequence_5e_C4.7-C4.8_reseau_local_packet_tracer.html;2;5e;5e_C4.7;true;titre;true;true;0;0;0;0;0;false;true;true;6
theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/3e/3e_C5.1/sequence_3e_C5.1-C5.4_sos_station_reparer.html;2;3e;3e_C5.1;true;titre;true;true;0;0;0;0;0;false;true;true;4
theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/4e/4e_C5.1/sequence_4e_C5.1-C5.3_depanner_jardin.html;2;4e;4e_C5.1;true;phrase dans un champ;true;true;0;0;0;0;0;false;true;true;3
theme-2-structure-fonctionnement-comportement/C5-identifier-un-dysfonctionnement-dun-objet/5e/5e_C5.1/sequence_5e_C5.1-C5.3_depanner_lampadaire.html;2;5e;5e_C5.1;true;phrase dans un champ;true;true;0;0;0;0;0;false;true;true;3
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/3e/3e_C6.1/sequence_3e_C6.1-C6.3_programmer_alerte.html;2;3e;3e_C6.1;true;titre;true;true;0;0;0;0;0;false;true;true;4
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/3e/3e_C6.2/sequence_3e_C6.2_auto_test_station.html;2;3e;3e_C6.2;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/4e/4e_C6.1/sequence_4e_C6.1-C6.3_ajuster_programme_jardin.html;2;4e;4e_C6.1;true;phrase dans un champ;true;true;0;0;0;0;0;false;true;true;2
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/4e/4e_C6.2/sequence-jardin-connecte-arrosage-automatique.html;2;4e;4e_C6.2;false;;true;;0;0;0;0;0;false;true;;0
theme-2-structure-fonctionnement-comportement/C6-comprendre-et-modifier-un-programme-associe/5e/5e_C6.1/sequence_5e_C6.1-C6.3_programmer_lampadaire.html;2;5e;5e_C6.1;true;phrase dans un champ;true;true;0;0;0;0;0;false;true;true;3
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/3e/3e_C7.1/sequence_3e_C7_capteur-confort-ny.html;3;3e;3e_C7.1;true;titre;true;true;2;2;0;0;0;false;true;false;1
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/3e/3e_C7.3/sequence_3e_C7.3_boitier-de-la-station.html;3;3e;3e_C7.3;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/3e/3e_C7.4/sequence_3e_C7.4_energie-de-la-station.html;3;3e;3e_C7.4;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/3e/3e_C7.5/sequence_3e_C7.5_station-a-equiper.html;3;3e;3e_C7.5;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/3e/3e_C7.7/sequence_3e_C7.7_produire-le-boitier.html;3;3e;3e_C7.7;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/3e/3e_C7.8/sequence_3e_C7.8_deux-stations.html;3;3e;3e_C7.8;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/4e/4e_C7.1/sequence_4e_C7_jardin-conception.html;3;4e;4e_C7.1;true;titre;true;true;3;3;0;0;0;false;true;false;1
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/4e/4e_C7.3/sequence_4e_C7.3_bac-du-jardin.html;3;4e;4e_C7.3;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/4e/4e_C7.4/sequence_4e_C7.4_energie-du-jardin.html;3;4e;4e_C7.4;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/4e/4e_C7.5/sequence_4e_C7.5_jardin-incomplet.html;3;4e;4e_C7.5;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/4e/4e_C7.7/sequence_4e_C7.7_support-du-capteur.html;3;4e;4e_C7.7;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/4e/4e_C7.8/sequence_4e_C7.8_le-jardin-publie.html;3;4e;4e_C7.8;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.1/sequence_5e_C7_mini-projet-objet.html;3;5e;5e_C7.1;true;titre;true;true;3;3;0;0;0;false;true;false;1
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.3/sequence_5e_C7.3_banc-de-la-cour.html;3;5e;5e_C7.3;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.4/sequence_5e_C7.4_indicateur-du-hall.html;3;5e;5e_C7.4;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C7-imaginer-concevoir-et-realiser-une-ou-des/5e/5e_C7.5/sequence_5e_C7.5_eclairage-du-preau.html;3;5e;5e_C7.5;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/3e/3e_C8.1/sequence_3e_C8.1_mat-de-la-station.html;3;3e;3e_C8.1;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/3e/3e_C8.2/sequence_3e_C8.2_mat-de-la-station.html;3;3e;3e_C8.2;true;titre;true;true;0;0;0;0;0;false;true;true;2
theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/4e/4e_C8.1/sequence_4e_C8_jardin-validation.html;3;4e;4e_C8.1;true;titre;true;true;3;3;0;0;0;false;true;false;1
theme-3-creation-conception-realisation-innovations/C8-valider-les-solutions-techniques-par-des/5e/5e_C8.1/sequence_5e_C8.1_patere-du-hall.html;3;5e;5e_C8.1;true;titre;true;true;0;0;0;0;0;false;true;true;2
