notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;statut_couverture
Ce qu'est une éprouvette, et pourquoi elle est normalisée;5e_C8.2;Act. 0 et 1 (25 min);3 éprouvettes cassées + 1 réponse;§ Les six mots;q1, q2;couvert (verrou expérientiel)
Le moment exact du relevé : la charge de rupture;5e_C8.2;Act. 1 (15 min);2 réponses + 1 phrase;§ Le protocole en six lignes;q3, q8;couvert
L'éprouvette neuve : l'endommagement invisible;5e_C8.2;Act. 1 (15 min);1 réponse;§ Le protocole en six lignes;q4;couvert
La traction parmi les sollicitations (flexion, compression, choc);5e_C8.2;Act. 1 et REFAIRE (30 min);1 réponse + 3 lignes de protocole;§ Les six mots;q5, q16;couvert
Le rôle d'un protocole : fixer ce qui ne doit pas varier;5e_C8.2;Act. 1 (15 min);1 réponse;§ Le protocole en six lignes;q6, q7, q15, q19;couvert
Mettre en œuvre : les cinq relevés au banc;5e_C8.2;Act. 2 (25 min);5 charges de rupture relevées;§ Les cinq relevés;q9, q18;couvert (verrou : 5 ruptures exigées)
Le coefficient de sécurité et la charge exigée;5e_C8.2;Act. 3 (20 min);1 calcul + 1 réponse;§ Décider;q10, q11;couvert
Juger une marge : 41 kg pour 40 exigés;5e_C8.2;Act. 3 (20 min);1 réponse + recommandation chiffrée;§ Décider (encadré);q12, q14;couvert
Ce qu'un essai ne dit pas;5e_C8.2;Act. 4 (15 min);5 associations;§ La phrase à retenir;q13, q17, q20;couvert
Choisir : quand un critère ne départage plus;5e_C3.1;Act. 4 (15 min);5 associations;§ Décider;q21, q26, q29;couvert
Les angles morts par matériau (couches, fluage, nœud, corrosion);5e_C3.1;Act. 4 (15 min);5 associations;§ Les cinq relevés;q22, q23, q24, q25;couvert
Le milieu et les moyens de fabrication comme critères;5e_C3.1;Act. 4 et bonus (15 min);5 associations + défi bord de mer;§ Décider;q23, q27, q28;couvert
Rendre une recommandation défendable;5e_C3.1;Act. 3 (20 min);2 phrases citant un chiffre;§ Je dois être capable de…;q30;couvert
