notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Concevoir SON schéma à deux réseaux — recette 4 étapes (règle n°22);3e_C4.7;Act. 1 (conception AVANT la référence);Plan rédigé (≥25 car., routeur/pont/10.0.0) ;Synthèse §1;C4.7 q2;oui;couvert
Deux rues différentes = deux réseaux étanches;3e_C4.7;Act. 1 étape 1;Choix e1c_1;Synthèse §1;C4.7 q12;oui;couvert
Le routeur, poste-frontière à la porte de chaque quartier;3e_C4.7;Act. 1 étape 2;Choix e1c_2;Synthèse §1;C4.7 q1;oui;couvert
La rue-pont 10.0.0.0/30 (le 3e réseau);3e_C4.7;Act. 1 étape 3 + schéma de référence;Choix e1c_3 + lecture e1_1;Synthèse §1;C4.7 q11;oui;couvert
Les DEUX adresses du routeur (le .1 + le pied de pont);3e_C4.7;Act. 1 lecture du schéma;Lecture e1_2;Synthèse §1;C4.7 q3;oui;couvert
La passerelle de 4e incarnée par le routeur;3e_C4.7;Act. 1 (correction) + Act. 3;Lecture e1_3;Synthèse §1;C4.7 q4;oui;couvert
Le commutateur reste (local ≠ frontière);3e_C4.7;Act. 1 étape 4 + Act. 2;Choix e1c_4;Synthèse §1;C4.7 q1;oui;couvert
Représenter le trajet complet (7 étapes, aller-retour);3e_C4.7;Act. 1 + Act. 5 (film);Lecture du schéma + Event List;Synthèse §1;C4.7 q10;oui;couvert
Lire un tracert (la liste des sauts);3e_C4.7;Act. 4 (transcription réelle);Relevé e4_3;Synthèse §3;C4.7 q5;oui;couvert
Le TTL, compteur de frontières (128−2=126);3e_C4.7;Act. 4 (mesure réelle);Relevés e4_1 et e4_2;Synthèse §3;C4.7 q6 et q7;oui;couvert
~1 ms par saut (ordres de grandeur réels);3e_C4.7;Act. 4 (mesures 0-4 ms);Relevé e4_4;Synthèse §3;C4.7 q9;oui;couvert
Le voyage horodaté dans l'Event List;3e_C4.7;Act. 5 (figure simulation);Lecture e5_1 et e5_2;Synthèse §3;C4.7 q8;oui;couvert
La table de routage (lire la ligne donnée);3e_C4.8;Act. 2 (table DONNÉE — conformité libellé);Jeu joué e2_1 à e2_5;Synthèse §2;C4.8 q1;oui;couvert
Les trois cas du poste-frontière (transmettre/distribuer/détruire);3e_C4.8;Act. 2 (procédure en 3 cas);Choix e2_2 e2_3 e2_4;Synthèse §2;C4.8 q2 et q12;oui;couvert
Rue inconnue = paquet DÉTRUIT (jamais au hasard);3e_C4.8;Act. 2 cas 3 + Act. 5 contre-épreuve;Choix e2_4 + verrou frontiere_sans;Synthèse §2;C4.8 q3;oui;couvert
La route statique (écrite à la main);3e_C4.8;Act. 3 étape G (fenêtre réelle);Route saisie + relevé e3_3;Synthèse §2;C4.8 q4;oui;couvert
La commande ip route derrière le clic Add;3e_C4.8;Act. 3 (figure Static Routes);Lecture du journal IOS;Synthèse §2;C4.8 q5;oui;couvert
La route MIROIR (l'aller ET le retour);3e_C4.8;Act. 3 étape H + pièges;Route miroir saisie + relevé e3_4;Synthèse §2;C4.8 q6 et q17;oui;couvert
L'explosion du nombre de lignes (2 réseaux → Internet);3e_C4.8;Act. 2 (l'argument du nombre) + Bonus 3e quartier;Justification rédigée e2_just (≥25 car.);Synthèse §2;C4.8 q7;oui;couvert
La nécessité du protocole de routage (justification);3e_C4.8;Act. 2 (conclusion) + Act. 5 (preuve);Justification e2_just + bilan pos_c48;Synthèse §2;C4.8 q8 et q9;oui;couvert
L'expérience « route effacée » (contre-épreuve);3e_C4.8;Act. 5 (mini-simulateur à verrou);Les DEUX passages exigés (__exp);Synthèse §3;C4.8 q3 et q18;oui;couvert
Activité débranchée (jouer le routeur sans machine);3e_C4.8;Act. 2 (tout le jeu);Table jouée en binôme;Synthèse §2;C4.8 q11;oui;couvert
Panne de câble sous-marin (résilience, autres routes);3e_C4.8;Act. 2 (prolongement) + Bonus tracert;Discussion guidée;Synthèse §2;C4.8 q10;oui;couvert
Configurer les interfaces du routeur (G0/0, G0/1, Port Status On);3e_C4.8;Act. 3 étapes D-E (fenêtre réelle);2×2 interfaces configurées + relevé e3_1;Synthèse §1;C4.8 q14;oui;couvert
Le câble croisé routeur ↔ routeur;3e_C4.8;Act. 3 étape C;Liaison verte constatée + relevé e3_2;Synthèse §1;C4.8 q13;oui;couvert
La passerelle des postes (sans elle, pas de frontière);3e_C4.8;Act. 3 étapes A-B (adressage des postes);4 machines adressées passerelle comprise;Synthèse §1;C4.8 q15;oui;couvert
Diagnostic inter-réseaux (où chercher quand rien ne passe);3e_C4.8;Act. 4 (2 timeouts normaux) + Act. 5;Relevé e4_5;Synthèse §3;C4.8 q16;oui;couvert
Rédiger la justification type DNB;3e_C4.8;Act. 2 + Bonus défi DNB;Justification e2_just + réponse modèle;Synthèse §2;C4.8 q18;oui;couvert
