notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Internet = réseau de réseaux, sans propriétaire;3e_C4.7;Act. 1 (séance 1);Vrai/faux justifié;Synthèse §1;1;oui;couvert
Terminaux, commutateur, routeur : rôles;3e_C4.7;Act. 1;6 attributions;Synthèse §1;2,3;oui;couvert
Adresse IP : identification unique;3e_C4.7;Act. 1;Sélection justifiée;Synthèse §1;4;oui;couvert
Succession de réseaux et représentation du trajet;3e_C4.7;Act. 2 (schéma fléché au cahier);6 étapes ordonnées + schéma;Synthèse §1;6,7;oui;couvert
Câbles sous-marins (trafic intercontinental);3e_C4.7;Act. 2;Sélection + discussion idée reçue;Synthèse §1;5;oui;couvert
Découpage en paquets numérotés;3e_C4.7;Act. 3 (simulateur);Message réassemblé;Synthèse §2;8;oui;couvert
En-tête : IP source/destination + numéro;3e_C4.7;Act. 3;Lecture des en-têtes du simulateur;Synthèse §2;9;oui;couvert
Réassemblage et ordre d'arrivée;3e_C4.7;Act. 3;Remise en ordre;Synthèse §2;10;oui;couvert
Perte d'un paquet : redemande individuelle;3e_C4.7;Act. 3;Question justifiée;Synthèse §2;11;oui;couvert
Routes multiples par paquet;3e_C4.7;Act. 3 + Act. 5;Question + observation simulateur;Synthèse §2;12;oui;couvert
Wi-Fi vs Internet vs Web;3e_C4.7;Act. 1 (débat) + synthèse;Distinction orale/écrite;Synthèse §pièges;13;oui;couvert
Client-serveur (rappel en contexte);3e_C4.7;Act. 2 (trajet vers serveur) ;Étapes 4-6 du trajet;Synthèse §1;14;oui;couvert
Ordres de grandeur (latence);3e_C4.7;Act. 2 (discussion);Estimation guidée;Synthèse §1;15;oui;couvert
Table de routage : définition et lecture;3e_C4.8;Act. 4 (jeu du routeur);4 aiguillages;Synthèse §3;16,17;oui;couvert
Route par défaut;3e_C4.8;Act. 4 (paquet C);Aiguillage justifié;Synthèse §3;18;oui;couvert
Protocole : définition;3e_C4.8;Act. 4 (justification);Rédaction;Synthèse §3;19;oui;couvert
Nécessité du protocole commun (interopérabilité);3e_C4.8;Act. 4 + R;Justification rédigée;Synthèse §3;20,24,29;oui;couvert
Mise à jour automatique des tables;3e_C4.8;Act. 5 (simulateur de panne);Expérience + explication;Synthèse §3;21;oui;couvert
Maillage et résilience;3e_C4.8;Act. 5;2 expériences menées;Synthèse §3;22;oui;couvert
Limite physique (réseau isolé);3e_C4.8;Act. 5 (expérience c);Constat + question;Synthèse §3;23;oui;couvert
Routage saut par saut, non géographique;3e_C4.8;Act. 4-5 (discussion);Aiguillages successifs;Synthèse §3;25,26;oui;couvert
Modélisation débranchée du routage distribué;3e_C4.8;Act. 4 (version débranchée);Partie jouée par équipes;Synthèse §3;27;oui;couvert
Panne vs congestion;3e_C4.8;Act. 5 (discussion correction);Distinction verbalisée;Synthèse §pièges;28;oui;couvert
Synthèse : fiabilité de bout en bout;3e_C4.8;Réinvestissement;6 réponses + justification;Synthèse §3;30;oui;couvert
