"catégorie du classeur";"dépôt initial";"type détecté";"nom du skill ou plugin";"déjà installé";"version installée";"version disponible";"dépôt officiel";"alternative recommandée";"dernière activité";"licence";"compatibilité Codex";"compatibilité Windows";"niveau de risque";"décision";"justification";"commande d’installation";"commande de désinstallation ou retour arrière"
"Skills & agents IA";"openai/skills";"COLLECTION_DE_SKILLS";"Collection officielle de skills";"non détecté";"—";"commit 49f948faa925 (2026-06-24)";"https://github.com/openai/skills";"openai/plugins + skills système installés";"2026-06-24";"Apache-2.0 par skill";"Oui, structure détectée";"Partiel; scripts Bash/cloud possibles";"A — faible risque";"REFUSE_REDONDANT";"Collection active, mais skills système et plugins officiels déjà présents; openai/plugins est la voie de distribution actuelle.";"";""
"Skills & agents IA";"anthropics/skills";"COLLECTION_DE_SKILLS";"18 skills Anthropic";"non détecté";"—";"commit 9d2f1ae18723 (2026-07-01)";"https://github.com/anthropics/skills";"documents/pdf/presentations/spreadsheets officiels installés";"2026-07-01";"Apache-2.0 par skill";"Oui, structure détectée";"Partiel; scripts Bash/cloud possibles";"B — risque maîtrisable";"REFUSE_REDONDANT";"75 scripts et fonctions DOCX/PDF/PPTX/XLSX déjà couvertes par les plugins officiels installés.";"";""
"Skills & agents IA";"huggingface/skills";"COLLECTION_DE_SKILLS";"26 skills Hugging Face";"non détecté";"—";"commit 52d324945107 (2026-07-13)";"https://github.com/huggingface/skills";"openai/plugins: hugging-face 1.0.3";"2026-07-13";"Apache-2.0";"Oui, structure détectée";"Partiel; scripts Bash/cloud possibles";"B — risque maîtrisable";"VALIDATION_MANUELLE_B";"Skills utiles mais accès réseau, téléchargements et opérations Hub; préférer le plugin officiel Hugging Face 1.0.3 avec droits contrôlés.";"codex plugin add hugging-face@openai-curated (B: après validation)";"codex plugin remove hugging-face@openai-curated (manuel)"
"Skills & agents IA";"microsoft/skills";"COLLECTION_DE_SKILLS";"191 skills Microsoft";"non détecté";"—";"commit 40d0f6008a37 (2026-07-14)";"https://github.com/microsoft/skills";"plugins Microsoft officiels ciblés dans openai/plugins";"2026-07-14";"MIT";"Oui, structure détectée";"Partiel; scripts Bash/cloud possibles";"B — risque maîtrisable";"REFUSE_COLLECTION";"Collection Azure/M365 très large, 113 scripts et accès cloud/secrets; non nécessaire aux projets actuels.";"";""
"Skills & agents IA";"google/skills";"COLLECTION_DE_SKILLS";"76 skills Google";"non détecté";"—";"commit 4ce85f5cd2b1 (2026-07-14)";"https://github.com/google/skills";"Google Drive officiel installé; plugins Google ciblés";"2026-07-14";"Apache-2.0";"Oui, structure détectée";"Partiel; scripts Bash/cloud possibles";"B — risque maîtrisable";"REFUSE_COLLECTION";"Collection cloud/ads large avec scripts de déploiement; Google Drive officiel est déjà installé.";"";""
"Skills & agents IA";"cloudflare/skills";"COLLECTION_DE_SKILLS";"11 skills Cloudflare";"non détecté";"—";"commit 70215303d44a (2026-07-13)";"https://github.com/cloudflare/skills";"openai/plugins: cloudflare 0.1.2";"2026-07-13";"Apache-2.0";"Oui, structure détectée";"Partiel; scripts Bash/cloud possibles";"B — risque maîtrisable";"REFUSE_REDONDANT";"Présence d'un MCP et de scripts réseau/secret dans turnstile-spin; le besoin web est couvert et le plugin Cloudflare officiel existe.";"";""
"Skills & agents IA";"vercel-labs/skills";"SKILL_CODEX";"find-skills";"oui — personnel";"origine non enregistrée; fichier du 2026-06-07";"v1.5.17 / commit 5527c09adc36";"https://github.com/vercel-labs/skills";"Mettre à jour le skill personnel existant";"2026-07-14";"MIT (package.json)";"Oui, structure détectée";"Oui pour le sous-composant retenu";"A — faible risque";"METTRE_A_JOUR_A";"Sous-répertoire sélectionné composé d'un unique SKILL.md; même origine que le skill personnel déjà installé, avec recherche --owner ajoutée.";"python install-skill-from-github.py --repo vercel-labs/skills --path skills/find-skills --ref 5527c09adc367612b0bffd9c80e3bc28a6b01b6d --dest %USERPROFILE%\.agents\skills (après sauvegarde)";"Déplacer la nouvelle copie en quarantaine puis restaurer la sauvegarde depuis %USERPROFILE%\.codex\backups\skills\find-skills-*"
"Skills & agents IA";"trailofbits/skills";"COLLECTION_DE_SKILLS";"75 skills sécurité";"non; alternative installée";"codex-security d6169bef";"commit cfe5d7b1619e (2026-06-30)";"https://github.com/trailofbits/skills";"codex-security officiel installé";"2026-06-30";"CC-BY-SA-4.0";"Oui, structure détectée";"Partiel; scripts Bash/cloud possibles";"C — installation seulement en bac à sable";"REFUSE_REDONDANT";"85 scripts, commandes destructives/installation repérées heuristiquement et deux MCP; Codex Security officiel est déjà installé.";"";""
"Skills & agents IA";"wshobson/agents";"PLUGIN_CODEX";"90 plugins Codex / 175 skills";"non détecté";"—";"commit b6af37110581 (2026-07-14)";"https://github.com/wshobson/agents";"Sous-plugin accessibility-compliance seulement; build-web-apps/browser déjà installés";"2026-07-14";"MIT";"Oui, structure détectée";"Oui pour le sous-composant retenu";"C — installation seulement en bac à sable";"VALIDATION_MANUELLE_B";"Dépôt complet trop large. Seul le sous-plugin accessibility-compliance 1.2.3 est retenu en B: manifeste valide, deux skills, aucun script/hook/MCP.";"codex plugin marketplace add wshobson/agents --ref b6af3711058190e4b5c5274b9758498fe626ec5a --sparse .agents/plugins --sparse plugins/accessibility-compliance; codex plugin add accessibility-compliance@claude-code-workflows (B)";"codex plugin remove accessibility-compliance@claude-code-workflows; codex plugin marketplace remove claude-code-workflows (manuel)"
"Skills & agents IA";"sickn33/agentic-awesome-skills";"RISQUE";"59 plugins Codex / 6195 skills";"non détecté";"—";"v14.4.0 / commit 5e31f236726a";"https://github.com/sickn33/agentic-awesome-skills";"Choisir des plugins officiels ou des sous-composants audités individuellement";"2026-07-14";"MIT agrégateur; licences hétérogènes";"Non — pas un composant Codex";"Hors périmètre d'installation Codex";"D — refusé";"REFUSE_RISQUE";"Agrégateur non auditable comme unité: 2868 scripts, 94 fichiers avec motifs destructifs et 20 avec motifs admin/persistance; provenance hétérogène.";"";""
