materiel;categorie;statut;quantite;tension;remarques
Arduino UNO classique;carte programmable;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;profil arduino:avr:uno ; compatible Grove Base Shield V2, Proteus
Arduino UNO R4 Minima;carte programmable;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V (USB-C);profil arduino:renesas_uno:minima ; compatibilité mBlock et Proteus NON acquise
Câble USB A vers USB-C;accessoire;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;;nécessaire pour l'UNO R4 Minima
Grove Base Shield V2;interface;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V/3,3V;vérifier le sélecteur de tension selon module
mBot2 (+ CyberPi);robot;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;batterie intégrée;capteurs intégrés + suivi de ligne + distance ; USB ou Bluetooth
Écran Grove LCD RGB 16x2;affichage (I2C);CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;bibliothèque rgb_lcd
Capteur luminosité Grove / LDR;capteur analogique;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;entrée analogique
Capteur ultrasons Grove;capteur;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Module LED Grove / DEL externes;actionneur;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Bouton Grove (avec LED) / bouton-poussoir;entrée;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;certains câblés INPUT_PULLUP → logique inversée à expliquer
Bouton sensitif (tactile);entrée;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Détecteur de mouvement PIR;capteur;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Capteur d'humidité du sol;capteur analogique;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;cœur de la séquence Jardin connecté
Relais Grove;actionneur;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V commande / TBT commutée;jamais de secteur manipulé par les élèves
Pompe basse tension;actionneur;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;TBT;
Électrovanne basse tension;actionneur;MATÉRIEL À CONFIRMER;;TBT;selon montage
Potentiomètre;entrée analogique;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Buzzer;actionneur;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Servomoteur;actionneur;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;sortie PWM adaptée
Microrupteurs;entrée;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Détecteur magnétique;entrée;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;5V;
Câbles Grove (+ câbles en Y);accessoire;CONFIRMÉ — MATÉRIEL DISPONIBLE;À CONFIRMER;;
Imprimante 3D;fabrication;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;conditionne 3e_C5.4 et une partie de C7
Multimètres;mesure;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;
Alimentations de laboratoire;alimentation;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;
Oscilloscopes;mesure;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;
Fers à souder;fabrication;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;
Routeurs/commutateurs dédiés;réseau;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;Filius/Packet Tracer en repli
Casques réalité virtuelle;visualisation;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;
Découpeuse laser;fabrication;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;
Fraiseuse numérique;fabrication;MATÉRIEL À CONFIRMER — prévoir une alternative par simulation;;;
Consommables impression 3D;consommable;MATÉRIEL À CONFIRMER;;;
