notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Cahier des charges : exigences de comportement vs performance;3e_C9.2;Act. 1 (séance 1);3 classements d'exigences;Synthèse §1;2,3;oui (activités + QCM);couvert
Chaînes d'information et d'énergie du système commandé (règle n°6);3e_C9.2;Act. 1;6 placements + chaînes recopiées au cahier;Synthèse §1;8;oui;couvert
Le bouton = entrée humaine (fonction Acquérir);3e_C9.2;Act. 1 (justification c);Justification rédigée;Synthèse §2;8;oui;couvert
Élaborer l'algorithme (seuils, cascade SI/SINON, ordre des tests);3e_C9.2;Act. 2 + Act. 3 palier 2;Algorithme complété + question du bug 180 km/h;Synthèse §1;4;oui;couvert
Algorigramme : symboles, lecture, boucle (pont DNB);3e_C9.2;Act. 2 (image à lire) + encart DNB;4 lectures d'algorigramme + recopie au cahier;Synthèse §1;5,6;oui;couvert
Traduire en blocs palier par palier (lire, décider, afficher);3e_C9.2;Act. 3 (séance 2, 4 planches);Programme 3e-STATION enregistré + 3 réponses + verrous banc;Synthèse §1;1,7;oui;couvert
Conversion calibrer/map (0-1023 vers 0-250);3e_C9.2;Act. 3 palier 1 + Act. 5 extrait 2;Calcul 512 vers 125 km/h;Synthèse §1;7;oui;couvert
Acquittement : booléen-mémoire alarmeAcquittee;3e_C9.2;Act. 4 (séance 3) + expérience banc;Expérience tracée + explication rédigée;Synthèse §2;9;oui;couvert
Événement vs état : niveauPrecedent, ré-armement;3e_C9.2;Act. 4 (chronogramme à lire) + expérience banc;2 expériences tracées + 4 lectures;Synthèse §2;10,11;oui;couvert
Ce qui s'acquitte (le son) et ce qui reste (l'information);3e_C9.2;Act. 4 (question 3);Lecture du cahier des charges;Synthèse §2;12;oui;couvert
Lecture du C++ généré : const, if/else if, structuration en sous-programmes;3e_C9.2;Act. 5 (3 extraits commentés);4 lectures guidées;Synthèse §2;13,14;oui;couvert
Mise au point par la trace du moniteur série;3e_C9.2;Act. 5 d (trace fournie, version C);Diagnostic + justification rédigée;Synthèse §2;15;oui;couvert
Définition du protocole de test (rédigé AVANT, attendus écrits);3e_C8.3;Act. 6 (séance 4);Protocole rédigé par l'élève;Synthèse §3;16,22;oui;couvert
Cas limites : encadrer chaque seuil (99/100, 149/150);3e_C8.3;Act. 6 (image à lire) + Act. 7 (exécution tracée);2 choix + 4 attendus + 4 bornes exécutées au banc;Synthèse §3;17,18,19;oui;couvert
Frontière comprise ou non : le cahier des charges tranche le >= ;3e_C8.3;Act. 6 (question v3) + Act. 7 essai 7;Choix justifié + essai à 150 pile;Synthèse §3;19;oui;couvert
Tester une performance : mesurer, comparer à l'exigence chiffrée;3e_C8.3;Act. 6 (question v4) + Act. 7 (chrono du banc);Mesure exécutée et consignée;Synthèse §3;20;oui;couvert
Tableau de recette : essai / attendu / observé / verdict;3e_C8.3;Act. 7 (tableau interactif);10 verdicts remplis pendant les essais;Synthèse §3;21,22;oui;couvert
Tester l'interaction humain-machine (2 essais d'acquittement);3e_C8.3;Act. 6 (question v5) + Act. 7 essais 9-10;Choix justifié + essais exécutés;Synthèse §3;23;oui;couvert
Règle de décision et verdict honnête (pas de moyenne);3e_C8.3;Act. 6 b + Act. 7 PV;Règle rédigée + conclusion explicite;Synthèse §3;24,26;oui;couvert
Non-régression : rejouer tout après correction;3e_C8.3;Act. 6 correction + Act. 7 correction;Présente dans la règle de décision;Synthèse §3;25;oui;couvert
Preuve reproductible vs démonstration; portée de la recette;3e_C8.3;Act. 7 correction + limites;PV avec périmètre;Synthèse §3;27,28;oui;couvert
Le procès-verbal de recette : document technique et contractuel;3e_C8.3;Act. 7 (PV rédigé et signé);PV rédigé;Synthèse §3;29;oui;couvert
Transfert de la démarche à un autre objet (portail automatique);3e_C8.3;QCM (question de transfert) + bonus;—;Synthèse §3;30;oui;couvert
