niveau;code;notion;où elle est enseignée;production de l'élève;questions du QCM
5e;5e_C7.1;la tâche : un état de fin observable;Étape 1 — billet + bandes de papier;3 tâches écrites, déclarables finies;5e Q1, 5e Q8
5e;5e_C7.1;le jalon : point de contrôle sans durée;Étape 1 — 4e ligne écrite;1 jalon écrit;5e Q2
5e;5e_C7.1;la durée : une estimation, pas une mesure;Étape 1 — consigne 3;durées en séances;5e Q9
5e;5e_C7.1;suivre : dire le retard ET ce qu'il décale;Parcours 5e — 4 situations + point d'avancement;point d'avancement en 3 lignes;5e Q4, Q5, Q6
5e;5e_C7.1;une tâche qui en attend plusieurs part après la plus tardive;Parcours 5e — situation 4;réponse justifiée;5e Q7
5e;5e_C7.1;le double nom : planification des tâches / Gantt;Référentiel + bilan;—;5e Q3
5e;5e_C7.1;à quoi sert un planning;Situation déclenchante + bilan;hypothèse corrigée;5e Q10
4e;4e_C7.1;la contrainte d'antériorité;Parcours 4e — lecture du tableau;3 réponses;4e Q1
4e;4e_C7.1;le parallélisme;Parcours 4e — question b + texte;2 tâches nommées + décision d'équipe;4e Q2, Q7, Q9
4e;4e_C7.1;la date au plus tôt, de proche en proche;Parcours 4e — champs de dates;7 dates + durée totale;4e Q3, Q4
4e;4e_C7.1;la somme des durées n'est pas la durée du projet;Parcours 4e — correction;—;4e Q5
4e;4e_C7.1;la marge;Parcours 4e — correction;—;4e Q10
4e;4e_C7.1;Fin-Début, et les flèches comme preuve;Onglet logiciel — écrans 3 et 4;capture ou feuille;4e Q6, Q8
3e;3e_C7.1;le chemin le plus long;Parcours 3e — questions a et b;chemin de son propre projet;3e Q1
3e;3e_C7.1;accélérer hors du chemin ne gagne rien;Parcours 3e — question 4;tâche nommée + raison;3e Q2
3e;3e_C7.1;accélérer sur le chemin, et le recalcul;Parcours 3e — question 5;—;3e Q3, Q9
3e;3e_C7.1;chemin critique = sans marge (nom du métier);Parcours 3e — question 6 + correction;—;3e Q4, Q5
3e;3e_C7.1;élaborer commence par découper;Parcours 3e — texte à écrire;découpage de son projet;3e Q7
3e;3e_C7.1;ajouter des personnes ne raccourcit pas toujours;Parcours 3e — correction;—;3e Q8
3e;3e_C7.1;les trois notions nommées par le programme;Référentiel en toutes lettres;—;3e Q10
5e·4e·3e;C7.1;la date de fin est calculée, pas saisie;Onglet logiciel — écran 2;—;3e Q6
