notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Le mot constitutif;3e_C7.3;Tête de séquence;lecture;Un matériau constitutif tire sur le reste;q1;couvert
Épaisseur non donnée;3e_C7.3;Act. 0;3 épaisseurs calculées;L'épaisseur se déduit du matériau;q2;couvert
Rigidité et carré de l'épaisseur;3e_C7.3;Act. 0;3 épaisseurs calculées;L'épaisseur se déduit du matériau;q3;couvert
Calcul d'une épaisseur;3e_C7.3;Act. 0;3 épaisseurs calculées;L'épaisseur se déduit du matériau;q4;couvert
Densité et masse de la pièce;3e_C7.3;Act. 0;1 masse calculée + 1 réponse;La masse volumique n'est pas la masse;q5;couvert
Zéro candidat;3e_C7.3;Act. 1;évaluation au banc;Aucun candidat est un résultat;q6;couvert
Le moins mauvais;3e_C7.3;Act. 1;1 réponse;Aucun candidat est un résultat;q7;couvert
Les recalés n'ont pas de rang;3e_C7.3;Act. 1;1 réponse;Un tri par seuils n'ordonne pas;q8;couvert
Rouvrir le cahier des charges;3e_C7.3;Act. 3;justification écrite;Rouvrir : trois marques;q9;couvert
Un seul seuil à la fois;3e_C7.3;Act. 2;3 essais au banc;Un seul seuil à la fois;q10;couvert
Sortie par le sel;3e_C7.3;Act. 2;1 essai + 1 désignation;Une contrainte change de porteur;q11;couvert
Sortie par la masse;3e_C7.3;Act. 2;1 essai + 1 désignation;Une contrainte change de porteur;q12;couvert
Sortie par la durée;3e_C7.3;Act. 2;1 essai au banc;Une contrainte change de porteur;q13;couvert
La contrainte change de porteur;3e_C7.3;Act. 2;1 réponse;Une contrainte change de porteur;q14;couvert
L'exigence qui élimine tout le monde;3e_C7.3;Act. 1;4 associations;L'exigence qui élimine tout le monde;q15;couvert
D'où vient un chiffre;3e_C7.3;Bonus;trois lignes écrites;L'exigence qui élimine tout le monde;q16;couvert
Le procédé écarte;3e_C7.3;Act. 3;1 réponse;Le procédé fait partie du choix;q17;couvert
Vertueux et réalisable;3e_C7.3;Act. 3;correction lue;Le procédé fait partie du choix;q18;couvert
Le procédé n'est pas une colonne;3e_C7.3;REFAIRE;texte de réinvestissement;Le procédé fait partie du choix;q19;couvert
Fabriquer sur place;3e_C7.3;REFAIRE;texte de réinvestissement;Rendre un coût acceptable;q20;couvert
Justification complète;3e_C4.2;Act. 3;justification écrite;Rouvrir : trois marques;q21;couvert
Matériau et procédé ensemble;3e_C4.2;Act. 3;3 associations;Le procédé fait partie du choix;q22;couvert
Impression et couches;3e_C4.2;Version 🅰;éprouvettes cassées;Le procédé fait partie du choix;q23;couvert
Découpe laser et matières;3e_C4.2;Encadré atelier;lecture;Ce que l'atelier interdit;q24;couvert
Procédés praticables au collège;3e_C4.2;Act. 3;3 associations;Le procédé fait partie du choix;q25;couvert
Forme et procédé;3e_C4.2;Act. 3;3 associations;Le procédé fait partie du choix;q26;couvert
Contraintes environnementales du procédé;3e_C4.2;REFAIRE;texte de réinvestissement;Rendre un coût acceptable;q27;couvert
Réparer sur place;3e_C4.2;REFAIRE;texte de réinvestissement;Rendre un coût acceptable;q28;couvert
Métaux à l'atelier;3e_C4.2;Encadré atelier;lecture;Ce que l'atelier interdit;q29;couvert
Disponible ici;3e_C4.2;Act. 3;1 réponse;Le procédé fait partie du choix;q30;couvert
