notion;activite;questions_qcm;niveau_cognitif
variable = boîte étiquetée;act1;BOI1,BOI9;comprehension
= range (et remplace);act1;BOI2,BOI3;comprehension
lecture droite→gauche;act1;BOI4;analyse
table de suivi;act2;BOI5,LIR6;application
accumulation (compteur);act2;BOI6;analyse
copie de valeur (b = a);act2 correction;BOI8;analyse
nommer les variables;act5;BOI7;application
ranger vs afficher (= vs print);act1;BOI10;comprehension
prédire→tester→reporter;act3;LIR1;comprehension
piège des guillemets (collage);act3;LIR2;analyse
tester = comparer attendu/obtenu;act4;LIR3,LIR9;comprehension
un test raté suffit;act4;LIR4;analyse
plusieurs cas (bug caché);act4;LIR5;analyse
écart console = ligne coupable;act4;LIR7,LIR8;analyse
diagnostic communicable;act4;LIR10;transfert
modifier LA bonne ligne;act5;MOD1,MOD9;application
non-régression (tout rejouer);act5;MOD2;application
condition SI/SINON;act5;MOD3;comprehension
cas limite zéro;act5;MOD4,MOD5;analyse
> vs >= tranché par le besoin;act5;MOD6;analyse
la variable commande l'objet (C9.3);act5;MOD7;transfert
réglé = tous tests verts;act5;MOD8;comprehension
démarche complète du technicien;bilan;MOD10;transfert
