jour;heure;pm25_ug_m3;temperature_c;humidite_pct
lundi;06:00;24.3;21.2;73.4
lundi;07:00;28.0;19.7;68.4
lundi;08:00;25.9;18.2;70.6
lundi;09:00;21.8;17.6;62.9
lundi;10:00;22.0;17.8;59.3
lundi;11:00;20.5;15.3;68.6
lundi;12:00;17.5;14.3;58.6
lundi;13:00;16.4;12.5;65.1
lundi;15:00;21.1;17.0;60.2
lundi;16:00;27.8;18.2;62.4
lundi;17:00;24.9;17.8;53.3
lundi;18:00;28.2;20.6;55.5
mardi;06:00;28.4;21.1;72.7
mardi;07:00;66.8;21.1;72.2
mardi;08:00;19.9;20.6;71.5
mardi;09:00;27.1;18.9;68.0
mardi;10:00;24.4;16.2;69.4
mardi;11:00;20.7;15.2;67.5
mardi;12:00;19.7;14.8;64.6
mardi;13:00;21.0;12.9;65.5
mardi;14:00;16.0;16.5;67.1
mardi;15:00;20.6;16.2;58.3
mardi;16:00;16.4;16.6;59.4
mardi;17:00;25.4;16.8;60.3
mardi;18:00;26.7;19.1;54.2
mercredi;06:00;28.3;19.2;72.4
mercredi;07:00;26.0;19.4;71.9
mercredi;08:00;23.2;17.8;69.4
mercredi;09:00;24.5;18.5;69.9
mercredi;10:00;19.1;15.9;66.1
mercredi;11:00;-4.2;14.1;63.0
mercredi;12:00;13.0;14.5;61.4
mercredi;13:00;20.5;13.1;63.4
mercredi;14:00;19.9;15.5;60.3
mercredi;15:00;20.9;15.9;58.7
mercredi;16:00;26.1;17.0;60.2
mercredi;17:00;19.8;18.8;58.0
mercredi;18:00;29.3;18.8;53.1
jeudi;06:00;25.1;23.5;74.5
jeudi;07:00;68.8;20.4;72.6
jeudi;08:00;21.1;20.3;71.5
jeudi;09:00;22.4;17.5;65.7
jeudi;10:00;24.2;16.7;65.9
jeudi;11:00;22.1;15.8;66.5
jeudi;12:00;16.9;16.1;67.0
jeudi;13:00;23.8;13.1;59.5
jeudi;14:00;20.5;16.0;60.1
jeudi;15:00;25.6;17.8;63.0
jeudi;16:00;29.9;17.0;58.9
jeudi;17:00;30.3;17.4;59.9
jeudi;18:00;25.3;18.7;59.4
vendredi;06:00;27.0;20.8;69.5
vendredi;07:00;26.4;19.8;68.0
vendredi;08:00;25.5;19.8;72.7
vendredi;09:00;23.7;15.2;69.7
vendredi;10:00;23.7;16.2;68.1
vendredi;11:00;23.7;15.5;64.5
vendredi;12:00;23.7;15.2;65.3
vendredi;13:00;23.7;13.4;56.3
vendredi;14:00;23.7;13.4;62.0
vendredi;15:00;22.5;16.8;55.5
vendredi;16:00;23.7;18.1;50.6
vendredi;17:00;25.6;19.9;53.0
vendredi;18:00;29.9;19.0;52.6
samedi;06:00;33.2;23.5;72.3
samedi;07:00;26.5;20.7;69.1
samedi;08:00;33.8;19.5;73.0
samedi;09:00;29.6;17.2;64.5
samedi;10:00;18.1;15.9;69.7
samedi;11:00;30.7;15.9;70.9
samedi;12:00;10.1;13.6;62.6
samedi;13:00;20.1;12.6;65.5
samedi;14:00;22.0;13.6;62.5
samedi;15:00;27.7;16.3;55.6
samedi;16:00;23.4;17.6;55.8
samedi;17:00;29.0;18.2;55.3
samedi;18:00;31.5;20.3;56.8
dimanche;06:00;26.0;21.1;71.0
dimanche;07:00;31.7;20.4;73.9
dimanche;08:00;28.8;18.5;69.2
dimanche;09:00;26.8;18.7;71.4
dimanche;10:00;22.0;15.3;72.9
dimanche;11:00;22.4;16.5;64.1
dimanche;12:00;22.1;14.9;64.2
dimanche;13:00;24.7;14.5;59.6
dimanche;14:00;21.5;15.2;63.0
dimanche;15:00;30.6;17.0;62.9
dimanche;16:00;251.0;18.3;64.1
dimanche;17:00;30.2;17.6;56.2
dimanche;18:00;32.5;18.4;54.0
