notion;code;seance;activite;production_eleve;questions_qcm;preuve_evaluable
Innovation de rupture — critère du savoir-faire caduc;3e_C1.1;1;Activité 1 a;tableau des trois régimes avec le métier de chacun;1-8;oui
Amélioration : mieux la même chose;3e_C1.1;1;Activité 1 a;distinction argumentée dans la ligne de conclusion;1,6;oui
Coexistence des régimes après une rupture;3e_C1.1;1;Activité 1 a;ligne 4 de la production;4,7;non
Découverte scientifique non finalisée;3e_C1.2;1;Activité 1 b;réponse sur ce que Herschel cherchait;9;oui
Chaîne découverte → fabrication → diffusion → usages;3e_C1.2;1;Activité 1 b;réponse sur le délai de deux siècles;10,11,14;oui
Effets sociaux de la diffusion d'une technique;3e_C1.2;1;Activité 1 b;— (traité au QCM et en synthèse);12,13,15;non
Trois accords : unité, période, périmètre;—;2;Activité 2;quatre lignes de matrice justifiées;— (base factuelle);oui
Proxy assumé et avertissement méthodologique;—;3;Activité 3;ratio, estimation, équivalence, avertissement;— (base factuelle);oui
Périmètre : véhicule-km contre passager-km;—;3;Activité 3 a3_5;réponse au piège des périmètres;— (base factuelle);non
Incommensurabilité — ce qui ne se convertit pas;3e_C1.4;4;Activité 4;trois raisons de fragilité + phrase finale;24,26;oui
Calcul juste et fragile à la fois;3e_C1.4;4;Activité 4;raisons de fragilité du ratio 313 t/bâtiment;24;oui
Frontière éthique — ce qui ne se compare jamais;3e_C1.4;4;Activité 4 encadré;lecture de la phrase obligatoire;— (non questionné : hors QCM);non
Incidence de l'OST sur la société;3e_C1.3;5;Activité 5 a;argumentaire de 6 à 8 lignes;16-23;oui
Argumentaire vérifiable et honnête sur ses angles morts;3e_C1.3;5;Activité 5 a;dernière ligne de l'argumentaire;17,18,20,21;oui
Contraintes sociétales : règle, moyen, attente;3e_C1.4;5;Activité 5 b;trois contraintes de natures différentes;25,27,28,29;oui
Contrainte → effet concret sur l'objet;3e_C1.4;5;Activité 5 b;pour chaque contrainte, ce qu'elle oblige à changer;26,27,28;oui
Les deux sens tenus ensemble;3e_C1.3;5;Activité 5;les deux argumentaires;30;oui
