code;usager;profil;ce_qu_il_dit;etape_concernee;ressenti_dominant
V01;Chen;habitué, tous les jours;« Le pire c'est quand le vélo ne se décroche pas. Tu tires, ça résiste, et tu ne sais pas si c'est toi ou la borne. »;deverrouiller;agacement, doute
V02;Li;première fois;« Je ne savais pas où poser ma carte. Il y a un logo, mais il est sous l'écran, dans l'ombre. »;identifier;hésitation
V03;Wang;une fois par semaine;« La liste des vélos est trop longue. On ne sait pas lequel prendre, alors on prend le premier. »;choisir;découragement
V04;Zhao;tous les matins;« Quand il pleut, l'écran est illisible. Je m'abrite avec mon bras pour lire. »;arriver;gêne
V05;Sun;deux fois par mois;« J'ai attendu, l'écran disait patientez, et rien ne venait. J'ai recommencé trois fois. »;deverrouiller;perte de confiance
V06;Zhou;occasionnel;« Une fois décroché, tout va bien. C'est avant que c'est long. »;partir;soulagement
V07;Wu;personne âgée;« Il faut se pencher pour lire, et je ne tiens pas longtemps penchée. »;arriver;fatigue
V08;Xu;étudiante;« Je fais ça en trente secondes, mais j'ai l'habitude. Ma mère n'y arrive pas seule. »;identifier;aisance, mais pas pour tous
V09;Ma;livreur;« La liste, moi, ça me va : je vois tout de suite ceux qui ont de la batterie. »;choisir;satisfaction
V10;Guo;touriste;« Les pictogrammes ne se ressemblent pas d'une borne à l'autre. »;arriver;confusion
V11;Deng;parent avec enfant;« J'ai une main prise. Tout demande deux mains : tenir le téléphone et tirer le vélo. »;partir;embarras
V12;Feng;habitué;« Ce qui m'énerve, ce n'est pas que ce soit long. C'est de ne pas savoir combien de temps ça va durer. »;deverrouiller;incertitude
