projet;niveau;id;tache;duree_seances;anteriorite;nature;qui
indicateur-rangement-hall;5e;A;Observer le hall aux heures de pointe et noter ce qui traîne;1;;tache;binôme
indicateur-rangement-hall;5e;B;Choisir ce que l'indicateur doit signaler;1;A;tache;binôme
indicateur-rangement-hall;5e;C;Dessiner le support à fabriquer;2;B;tache;binôme
indicateur-rangement-hall;5e;D;Choisir le matériau du support;1;B;tache;binôme
indicateur-rangement-hall;5e;E;Fabriquer le support;2;C,D;tache;binôme
indicateur-rangement-hall;5e;F;Installer l'indicateur dans le hall;1;E;tache;binôme
indicateur-rangement-hall;5e;G;L'indicateur est en service;0;F;jalon;classe
jardin-connecte-brooklyn;4e;A;Relever les besoins en eau des plantes de la cour;1;;tache;groupe
jardin-connecte-brooklyn;4e;B;Choisir les grandeurs à mesurer;1;A;tache;groupe
jardin-connecte-brooklyn;4e;C;Câbler le capteur d'humidité du sol;2;B;tache;groupe
jardin-connecte-brooklyn;4e;D;Écrire le programme d'arrosage;2;A;tache;groupe
jardin-connecte-brooklyn;4e;E;Fabriquer le support étanche du capteur;3;B;tache;groupe
jardin-connecte-brooklyn;4e;F;Assembler capteur, support et carte;1;C,E;tache;groupe
jardin-connecte-brooklyn;4e;G;Téléverser et régler le seuil d'arrosage;1;D,F;tache;groupe
jardin-connecte-brooklyn;4e;H;Tester une semaine et relever les mesures;2;G;tache;groupe
jardin-connecte-brooklyn;4e;I;Le jardin s'arrose seul;0;H;jalon;classe
capteur-confort-ny;3e;A;Définir ce qu'on appelle une salle inconfortable;1;;tache;équipe
capteur-confort-ny;3e;B;Choisir les grandeurs à mesurer;1;A;tache;équipe
capteur-confort-ny;3e;C;Rédiger le cahier des charges;1;B;tache;équipe
capteur-confort-ny;3e;D;Modéliser le boîtier;2;C;tache;équipe
capteur-confort-ny;3e;E;Imprimer le boîtier;3;D;tache;équipe
capteur-confort-ny;3e;F;Écrire le programme de mesure et d'alerte;2;C;tache;équipe
capteur-confort-ny;3e;G;Câbler les capteurs sur la carte;1;B;tache;équipe
capteur-confort-ny;3e;H;Assembler la carte dans le boîtier;1;E,G;tache;équipe
capteur-confort-ny;3e;I;Téléverser et étalonner;1;F,H;tache;équipe
capteur-confort-ny;3e;J;Mesurer trois jours et comparer au cahier des charges;2;I;tache;équipe
capteur-confort-ny;3e;K;Le capteur signale la surchauffe;0;J;jalon;classe
