dossier;nom_du_fichier;ce_que_c_est_reellement;date
Documents/;truc.csv;relevés du capteur, semaine 1;2026-03-09
Documents/;truc2.csv;relevés du capteur, semaine 2;2026-03-16
Documents/;Nouveau dossier/;(vide);
Documents/Nouveau dossier/;final.csv;relevés du capteur, semaine 3;2026-03-23
Documents/Nouveau dossier/;finalV2.csv;relevés semaine 3, corrigés;2026-03-24
Documents/Nouveau dossier/;finalV2 (copie).csv;identique au précédent;2026-03-24
Documents/;graphique.png;graphique de la semaine 1;2026-03-10
Documents/;graphique(1).png;graphique de la semaine 2;2026-03-17
Documents/;IMG_4471.jpg;photo du capteur installé;2026-03-05
Documents/;à ranger/;(vide);
Documents/à ranger/;notice.pdf;notice du capteur, en anglais;2026-03-04
Documents/à ranger/;rapport.odt;compte rendu de la classe;2026-04-02
Documents/;sans titre.odt;brouillon, 2 lignes;2026-03-11
Documents/;capteur mardi PIC ATTENTION.csv;extrait des pics du mardi;2026-03-31
