essai;solution;etat_chaussee;pente_pourcent;vitesse_depart_km_h;distance_arret_m;remarque
1;Frein à patins;sèche;0;18;5,7;
2;Frein à patins;sèche;0;18;5,9;
3;Frein à patins;mouillée;0;18;8,7;la roue continue un instant avant que ça morde
4;Frein à patins;mouillée;0;18;9,1;idem
5;Frein à patins;mouillée;8;18;11,4;descente du parking
6;Frein à disque mécanique;sèche;0;18;5,3;
7;Frein à disque mécanique;sèche;0;18;5,5;
8;Frein à disque mécanique;mouillée;0;18;6,3;mord tout de suite
9;Frein à disque mécanique;mouillée;0;18;6,5;
10;Frein à disque mécanique;mouillée;8;18;7,9;descente du parking
11;Frein à tambour;sèche;0;18;6,0;
12;Frein à tambour;sèche;0;18;6,2;
13;Frein à tambour;mouillée;0;18;6,8;l'eau n'entre pas dans le tambour
14;Frein à tambour;mouillée;0;18;7,0;
15;Frein à tambour;mouillée;8;18;8,6;descente du parking — chauffe en fin de descente
