notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis de 5e : fonction technique, capteur, transformation d'énergie;4e_C4.1;Billet d'entrée (4 min, sans note) + capsule de rattrapage;3 réponses + orientation automatique;Synthèse §1;-;oui (capsule);couvert
L'événement déclencheur d'un système automatisé;4e_C4.1;Act. 1.1 étape 1;Remise en ordre des 6 étapes;Synthèse §1;1;oui;couvert
Le trajet complet d'un objet dans le système;4e_C4.1;Act. 1.1;Les 6 étapes ordonnées;Synthèse §1;1 et 5;oui;couvert
Le diagramme fonctionnel : bloc = fonction, flèche = flux;4e_C4.1;Act. 1.2 A + encadré « le mot officiel »;Diagramme complété;Synthèse §1;2 et 8;oui;couvert
Fonction technique / solution technique;4e_C4.1;Act. 1.2 A (rappel 5e_C4.1);6 associations fonction-solution;Synthèse §1;4;oui;couvert
Règle d'or du schéma : information en haut, énergie en bas;4e_C4.1;Act. 1.2 (encadré canonique, règle n°6);Respect de la disposition dans draw.io;Synthèse §1;3;oui;couvert
Le système boucle : retour à l'état initial;4e_C4.1;Act. 1.1 étape 6 + correction;Justification du retour du wagonnet;Synthèse §1;5;oui;couvert
Automatisé n'est pas autonome (les étapes humaines);4e_C4.1;Act. 1.1 correction (magasinier, bibliothécaire);Identification des deux intervenants;Synthèse §1;6 et 7;oui;couvert
Échanges du système avec son environnement;4e_C4.1;Act. 1.1 + 1.2 (entrées, sortie utile);Analyse entrées/sorties;Synthèse §1;10;oui;couvert
Analyser un système existant avant de concevoir;4e_C4.1;Situation déclenchante (New York puis Schoelcher);Hypothèse de départ rédigée;Synthèse §1;9;oui;couvert
Les 4 fonctions de la chaîne d'énergie;4e_C4.2;Act. 1.2 bis + figure chaine_energie;Tableau entrées/sorties complété;Synthèse §2;6;oui;couvert
Le convertisseur : alternatif vers continu;4e_C4.2;Act. 1.2 bis bloc ALIMENTER;Énergies d'entrée et de sortie;Synthèse §2;1;oui;couvert
Le seul bloc où l'énergie change de forme;4e_C4.2;Act. 1.2 bis bloc CONVERTIR;Repérage argumenté;Synthèse §2;2;oui;couvert
Rotation puis translation (transmettre);4e_C4.2;Act. 1.2 bis bloc TRANSMETTRE;Énergies de sortie;Synthèse §2;3;oui;couvert
Le réducteur : échanger vitesse contre effort;4e_C4.2;Act. 1.2 bis bloc ADAPTER;Justification du bloc;Synthèse §2;4;oui;couvert
Les étiquettes d'énergie vont sur les flèches;4e_C4.2;Act. 1.2 bis (consigne explicite);Flèches étiquetées dans draw.io;Synthèse §2;5;oui;couvert
Un objet peut avoir deux fonctions (le rail);4e_C4.2;Act. 1.2 + piège classique;Classement argumenté;Synthèse §2 et §5 pièges;7;oui;couvert
Suivre l'énergie de la source à l'effet utile;4e_C4.2;Act. 1.2 bis (parcours complet);Chaîne d'énergie complète;Synthèse §2;8;oui;couvert
Ce qui consomme dans un système;4e_C4.2;Act. 1.2 bis (correction);Comparaison information/énergie;Synthèse §2;9;oui;couvert
Domaine et forme d'énergie (deux notions distinctes);4e_C4.2;Act. 1.2 bis (les quatre visages);Étiquetage correct;Synthèse §2;10;oui;couvert
Les 3 fonctions de la chaîne d'information;4e_C4.4;Act. 1.2 + figure chaine_information;Classement des 5 éléments;Synthèse §3;1;oui;couvert
Ce que fait un capteur (informer, pas agir);4e_C4.4;Act. 1.2 + act. 1.3 (ajout dans draw.io);Capteurs placés dans le schéma;Synthèse §3;2;oui;couvert
La donnée mémorisée relève de TRAITER;4e_C4.4;Act. 1.2 (destination programmée);Classement argumenté;Synthèse §3;3;oui;couvert
Le sens de l'ordre entre les deux chaînes;4e_C4.4;Act. 1.2 correction + règle du schéma;Flèche d'ordre tracée;Synthèse §3;4;oui;couvert
Compléter une chaîne d'information dans draw.io;4e_C4.4;Act. 1.3 (fichier a_completer fourni);Fichier .drawio complété;Synthèse §3;2;oui (fichier correction);couvert
Les 4 symboles normalisés de l'algorigramme;4e_C4.4;Act. 2.1;5 associations symbole-étape;Synthèse §4;5 et 6;oui;couvert
Le losange : un test à deux issues;4e_C4.4;Act. 2.1 + act. 2.2;Tests présents dans l'algorigramme;Synthèse §4;5;oui;couvert
Entrée de donnée : le parallélogramme;4e_C4.4;Act. 2.1 (erreur classique traitée);Symbole correct pour la saisie;Synthèse §4;6;oui;couvert
La boucle d'attente (branche NON);4e_C4.4;Act. 2.2 (algorigramme complet);Flèche de retour tracée;Synthèse §4;7;oui;couvert
Les bornes Début et Fin;4e_C4.4;Act. 2.2;Ovales présents;Synthèse §4;8;oui;couvert
Pourquoi une norme de représentation;4e_C4.4;Act. 2.1 et 2.2 (guide draw.io);Algorigramme lisible par un tiers;Synthèse §4;9;oui;couvert
Diagramme fonctionnel et algorigramme : deux questions;4e_C4.4;Bilan de la séance 2;Comparaison rédigée;Synthèse §4;10;oui;couvert
Vectoriel (SVG) et matriciel (PNG);CRCN 3.3;Act. 3.2 (expérience du zoom + tableau);Tableau comparatif complété;Synthèse §5;-;oui;couvert (hors QCM : compétence CRCN)
Justifier un format selon sa destination;CRCN 3.3;Act. 3.2 (justification écrite, version étayée);Justification de 2 à 4 phrases;Synthèse §5;-;oui;couvert (hors QCM : compétence CRCN)
Construire un algorigramme normalisé dans un logiciel;CRCN 3.4;Act. 2.2 (guide pas à pas);Fichier book-train.drawio;Synthèse §4;-;oui;couvert (hors QCM : compétence CRCN)
Présenter son travail (diaporama 6 diapositives);CRCN 3.3;Act. 3.3 (guide Impress);Diaporama exporté;Synthèse §5;-;oui;couvert (hors QCM : compétence CRCN)
