usager;profil;duree_totale_s;abandon;etape_abandon
U01;personne_agee;133;non;
U02;habitue;51;non;
U03;avec_poussette;62;non;
U04;habitue;64;non;
U05;touriste;154;non;
U06;occasionnel;95;non;
U07;avec_poussette;78;non;
U08;occasionnel;69;non;
U09;habitue;29;non;
U10;habitue;45;non;
U11;habitue;48;non;
U12;personne_agee;136;non;
U13;touriste;145;non;
U14;avec_poussette;82;oui;récupérer
U15;habitue;43;non;
U16;habitue;40;non;
U17;occasionnel;82;non;
U18;personne_agee;146;non;
U19;touriste;129;non;
U20;habitue;48;non;
U21;occasionnel;78;non;
U22;habitue;32;non;
U23;occasionnel;83;non;
U24;occasionnel;91;non;
U25;habitue;23;non;
U26;habitue;26;non;
U27;touriste;104;oui;choisir le titre
U28;personne_agee;150;oui;choisir le titre
U29;occasionnel;34;oui;payer
U30;touriste;74;oui;choisir la langue
U31;touriste;80;non;
U32;personne_agee;97;oui;choisir le titre
U33;occasionnel;59;non;
U34;habitue;49;non;
U35;avec_poussette;111;non;
U36;habitue;38;non;
U37;habitue;43;non;
U38;touriste;93;oui;choisir le titre
U39;occasionnel;74;non;
U40;personne_agee;76;oui;payer
