notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Prérequis : objet technique, fonction technique, environnement;5e_C2.1;Billet d'entrée (4 min, sans note);3 réponses + aiguillage vers la capsule;Synthèse §1;-;oui;couvert
Un interacteur est extérieur à l'objet;5e_C2.1;Act. 1 a (~45 min) + figure des quatre familles;Tri de 4 propositions;Synthèse §1;1 et 3 et 10;oui;couvert
Une caractéristique de l'objet n'est pas un interacteur;5e_C2.1;Act. 1 a;Justification du tri;Synthèse §1;3;oui;couvert
Un interacteur peut être non vivant;5e_C2.1;Act. 1 a;Justification (la pluie);Synthèse §1;4;oui;couvert
Un interacteur peut être invisible ou immatériel;5e_C2.1;Act. 1 a;Justification (le réseau);Synthèse §1;5 et 9;oui;couvert
Les quatre familles : usagers, données, autres objets, environnement;5e_C2.1;Act. 1 b + figure;Liste typée par nature;Synthèse §2;2;oui;couvert
Le réflexe des personnes, et son coût;5e_C2.1;Act. 1 b + hypothèse recomptée au bilan;Retour écrit sur l'hypothèse;Synthèse §2;6 et 7;oui;couvert
Alimenter, menacer, contraindre : les trois questions;5e_C2.1;Act. 1 c + aide de niveau 2;Liste d'au moins six interacteurs;Synthèse §2;8 et 9 et 14;oui;couvert
Une règle est un interacteur;5e_C2.1;Act. 1 c (aide n2);Entrée « condition » dans la liste;Synthèse §2;9;oui;couvert
Changer de lieu, c'est changer d'interacteurs;5e_C2.1;Act. 3 Transfert (~35 min);Trois interacteurs martiniquais;Synthèse §6;11 et 12 et 13;oui;couvert
À quoi sert le recensement : prévoir la panne sans casse;5e_C2.1;Situation déclenchante + act. 1;Hypothèse de départ;Synthèse §1;15;oui;couvert
Chaque forme est une décision;5e_C2.2;Act. 2 a (~50 min) + figure de lecture;Quatre choix expliqués;Synthèse §3;16;oui;couvert
La question « pourquoi pas autrement ? »;5e_C2.2;Act. 2 a + aide de niveau 1;Formulation de l'alternative écartée;Synthèse §3;17;oui;couvert
Expliquer n'est pas décrire;5e_C2.2;Act. 2 c;Relevé écrit à trois entrées;Synthèse §3;27;oui;couvert
Les trois domaines du programme : ergonomie, sécurité, développement durable;5e_C2.2;Act. 2 b + aide de niveau 2;Domaine nommé pour chaque choix;Synthèse §4;18 et 19 et 20;oui;couvert
Le développement durable comme domaine de conception;5e_C2.2;Act. 2 b (questions a2_7 et a2_8) + figure;Au moins un choix relevant du développement durable;Synthèse §4;28;oui;couvert
L'esthétique existe, mais n'est pas l'un des trois domaines;5e_C2.2;Carte du référentiel + aide de niveau 2;Aucune — repère de cadrage;Synthèse §4;18;oui;couvert
Un choix peut servir deux domaines : dire lequel domine;5e_C2.2;Act. 2 b;Justification du domaine dominant;Synthèse §4;23;oui;couvert
Rattacher un choix à un interacteur;5e_C2.2;Act. 2 a + figure;Interacteur nommé pour chaque choix;Synthèse §3;21;oui;couvert
La maintenance est un usage à part entière;5e_C2.2;Act. 2 a (la vis unique);Choix rattaché à l'agent de maintenance;Synthèse §4;22;oui;couvert
Le piège du « c'est pour faire joli »;5e_C2.2;Act. 2 — piège classique;Domaine correctement attribué;Synthèse §7;28;oui;couvert
Un même problème admet plusieurs réponses techniques;5e_C2.2;Act. 3 (auvent contre borne inclinée);Comparaison argumentée;Synthèse §5;25;oui;couvert
Un choix déplace le problème ailleurs : le gain et le prix;5e_C2.2;Act. 3 (ancrage au sol, boîtier soudé);Gain ET prix nommés;Synthèse §5;24 et 26;oui;couvert
Transposer, c'est repartir des interacteurs qui changent;5e_C2.2;Act. 3 Transfert;Choix de conception à revoir;Synthèse §6;29;oui;couvert
Frontière avec la 4e : repérer un choix / décrire un vécu;5e_C2.2;Carte du référentiel (note explicite);Aucune — repère de niveau;Synthèse prof;30;oui;couvert
