notion;code;où c'est travaillé;production de l'élève;section de synthèse;question du QCM;statut
Un mot de passe partagé;5e_C1.5;Act. 3;4 associations;Le compte partagé;q1;couvert
Ce qu'un compte partagé rend impossible;5e_C1.5;Act. 3;1 réponse;Le compte partagé;q2;couvert
Le départ d'un membre;5e_C1.5;Act. 3;4 associations;Le compte partagé;q3;couvert
Le mot de passe écrit dans la salle;5e_C1.5;Act. 3;4 associations;Le compte partagé;q4;couvert
Un compte par personne, un rôle;5e_C1.5;Act. 3;1 réponse;Le compte partagé;q5;couvert
Gratuit n'est pas libre;5e_C1.5;Act. 2;5 associations;La propriété intellectuelle;q6;couvert
L'absence de licence;5e_C1.5;Act. 2;5 associations + banc;La propriété intellectuelle;q7;couvert
La licence CC BY;5e_C1.5;Act. 2;5 associations + banc;La propriété intellectuelle;q8;couvert
La mention NC;5e_C1.5;Act. 2;5 associations;La propriété intellectuelle;q9;couvert
Le domaine public;5e_C1.5;Act. 2;5 associations;La propriété intellectuelle;q10;couvert
L'image d'un moteur de recherche;5e_C1.5;Act. 2;1 réponse;La propriété intellectuelle;q11;couvert
La photo prise par la classe;5e_C1.5;Act. 2;5 associations + banc;La propriété intellectuelle;q12;couvert
Le droit d'auteur protège aussi les tiennes;5e_C1.5;Act. 2;lecture de la correction;La propriété intellectuelle;q13;couvert
Citer l'auteur;5e_C1.5;Act. 2;lecture de la correction;La propriété intellectuelle;q14;couvert
Une œuvre modifiée reste une œuvre;5e_C1.5;Bonus;essais sur le banc;La propriété intellectuelle;q15;couvert
Ce qu'est une métadonnée;5e_C1.6;Act. 0;1 réponse après essai;Ce qu'une publication révèle;q16;couvert
La géolocalisation d'une photo;5e_C1.6;Act. 0;1 réponse après essai;Ce qu'une publication révèle;q17;couvert
Ce qui identifie : la combinaison;5e_C1.6;Act. 0 et 1;1 réponse + 3 relevés;La combinaison;q18;couvert
Retirer le visage ne suffit pas;5e_C1.6;Act. 1;3 relevés au banc;La combinaison;q19;couvert
Le droit à l'image;5e_C1.6;Act. 1;banc + 1 réponse;Droit et nécessité;q20;couvert
L'accord oral;5e_C1.6;Act. 1;banc + 1 réponse;Droit et nécessité;q21;couvert
Ce que l'autorisation change, et ce qu'elle ne change pas;5e_C1.6;Act. 1;1 réponse;Droit et nécessité;q22;couvert
Une donnée personnelle;5e_C1.6;Act. 0 et 1;banc;La combinaison;q23;couvert
Avoir le droit, et être nécessaire;5e_C1.6;Act. 1;1 réponse;Droit et nécessité;q24;couvert
Le « j'aime » sous un commentaire;5e_C1.6;Act. 4;5 associations;Ce que chacun engage;q25;couvert
Le silence du témoin;5e_C1.6;Act. 4;5 associations;Ce que chacun engage;q26;couvert
La capture renvoyée ailleurs;5e_C1.6;Act. 4;5 associations;Ce que chacun engage;q27;couvert
Qui répond de ce qui reste publié;5e_C1.6;Act. 4;5 associations;Ce que chacun engage;q28;couvert
Se dédouaner, et ne pas pouvoir;5e_C1.6;Act. 4;1 réponse;Le compte partagé;q29;couvert
Ce qui reste après suppression;5e_C1.6;REFAIRE;texte de réinvestissement;Publier n'est pas réversible;q30;couvert
