notion;activite;questions_qcm;niveau_cognitif
variable = boîte étiquetée (nom + valeur);act1 simulateur;VAR1,VAR5;comprehension
affectation = remplacer (ancienne valeur perdue);act1;VAR2,VAR4;comprehension
lecture droite→gauche de x = x + 1;act1;VAR3;analyse
table de suivi (méthode);act2;VAR8;application
motif compteur / accumulation;act2;VAR6,PRG7;analyse
échange de deux variables (temp);act2 correction;VAR7;analyse
types int/float/str/bool;act3 doc2;TYP1,TYP5;comprehension
concaténation vs addition (piège guillemets);act3 expériences;TYP2,TYP6;analyse
virgule décimale = point;act3,act4;TYP3;comprehension
conversions int()/float();act3 correction;TYP4;application
TypeError str-int;act4 bug3;TYP7;analyse
type(x) réflexe de doute;act3;TYP8;application
prédire→tester→reporter;act3;PRG1;comprehension
une correction à la fois + réexécution;act4;PRG2;application
lire un message d'erreur;act4;PRG3;application
ordre des lignes (créer avant d'utiliser);act4;PRG4;analyse
= affecte vs == compare;act5;PRG5;comprehension
print() de traçage (bug silencieux);act4 aide;PRG6;application
fonction : paramètres, return, réutilisable, testable;act5;MAP1,MAP2;comprehension
algorithme d'abord (élaborer);act5;MAP2;comprehension
banc de tests (cas + frontières);act5;MAP3;analyse
cas limite > vs >= tranché par le besoin;act5;MAP4;analyse
non-régression (tout rejouer);act5;MAP5;application
« fini » = tous les tests verts;act5;MAP6;comprehension
variable → commande d'un système réel;act5,bonus,TP mBot2;MAP7;transfert
