domaine_pedagogique;materiel;logiciel_privilegie;compatibilite;alternative_logicielle;alternative_sans_materiel
Programmation par blocs / robot mobile;mBot2;mBlock 5;CONFIRMÉE (usage régulier);VittaScience (blocs génériques);simulation HTML + vidéos de comportement
Capteurs et actionneurs;Arduino UNO classique + Grove;VittaScience puis Arduino IDE (arduino:avr:uno);CONFIRMÉE;mBlock (extension à tester);simulation VittaScience ou HTML
Capteurs et actionneurs (carte récente);Arduino UNO R4 Minima + Grove;Arduino IDE (arduino:renesas_uno:minima);CONFIRMÉE (IDE) / mBlock : NON VÉRIFIÉE / Proteus : NON VÉRIFIÉE;VittaScience (support R4 à vérifier);simulation VittaScience sur UNO classique
Simulation électronique;Arduino UNO classique (virtuel);Proteus 9;À VÉRIFIER (version/licence);VittaScience;simulation HTML originale
Chaîne d'information / chaîne d'énergie;capteurs + LCD + relais;draw.io + VittaScience/Arduino IDE;CONFIRMÉE;Inkscape (schémas);étude de documents + schémas à compléter
Réseaux simples;aucun (simulation);Filius;CONFIRMÉE;activité débranchée papier;activité débranchée papier/HTML
Réseaux approfondis;aucun (simulation);Cisco Packet Tracer;COMPTE À VÉRIFIER;Filius (limité);activité débranchée + table de routage donnée
Traitement de données;données de capteurs (CSV);LibreOffice Calc;CONFIRMÉE;Excel / Python;jeux de données fournis dans le dépôt
Habitat / aménagement;maquette numérique;Sweet Home 3D;CONFIRMÉE;Blender (visualisation seulement);plans papier + visionneuse
Conception de pièce;prototype / impression 3D À CONFIRMER;FreeCAD;CONFIRMÉE (logiciel) / imprimante À CONFIRMER;SolidWorks (licence à vérifier) ou OpenSCAD;modélisation seule + visionneuse STL
Présentation 3D / animation;modèle numérique;Blender;POSTES À VÉRIFIER (puissance);eDrawings / visionneuse GLB;vidéo fournie
Schémas de montage;Arduino + Grove;Fritzing;LICENCE/INSTALLATION À VÉRIFIER;SVG originaux Inkscape (recommandé);SVG fournis dans le dépôt
Gestion de projet;projet collectif;GanttProject;CONFIRMÉE (logiciel libre);tableur LibreOffice;tableau papier/HTML
Application mobile;smartphone OU émulateur;MIT App Inventor;COMPTE GOOGLE NÉCESSAIRE — À ARBITRER;—;démonstration + maquette papier de l'IHM
Communication du projet;prototype réalisé;GIMP + Audacity + OpenShot/Shotcut;CONFIRMÉE (logiciels libres);Shotcut si OpenShot instable;affiche/HTML sans vidéo
